FID,TRP,TRP_X,TRP_Y,x,y,version,entry_id,timestamp,reader_ini,surveyor_n,volume,page,year,state,hubtack_co,baseline,meridian,township,townshipdi,rangenum,rangedir,sectiona,sectionb,interiorse,interiordi,refcorner,traveldir,secondpass,chains,typecorner,cornerid,species,speciescod,verbatim,L1_tree1,L3_tree1,diameter,bearing,degrees,bearingdir,chainstree,species2,speciesc_1,verbatim2,L1_tree2,L3_tree2,diameter2,bearing2,degrees2,bearingd_1,chainstr_1,species3,speciesc_2,verbatim3,L1_tree3,L3_tree3,diameter3,bearing3,degrees3,bearingd_2,chainstr_2,species4,speciesc_3,verbatim4,L1_tree4,L3_tree4,diameter4,bearing4,degrees4,bearingd_3,chainstr_3,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,water,nodata,notree,feature,featurenot,timbernote,understory,landnotes,landnotesv,generalnot,recheck,reason,fixed,X_UTM,Y_UTM
271,32N1W2,-1.033333333330000,32.000000000000000,721030.220899999960000,521687.165199999990000,1.5-1,618123, ,cbroder1,Abner E. VanNess,999,175,1834,IN,Starke,2,2,32,N,1,W,18,19,0, ,100400,E,Y,41.680000000000000,(1/4) Section,140400, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,535807.540797999940000,4562760.568880000200000
272,32N1W2,-1.033333333330000,32.000000000000000,721878.538999999990000,522444.421600000000000,1.5-1,618127, ,cbroder1,Abner E. VanNess,999,175,1834,IN,Starke,2,2,32,N,1,W,17,18,0, ,200400,N,N,40.000000000000000,(1/4) Section,200440, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,536618.802710999970000,4563556.725929999700000
273,32N1W2,-1.033333333330000,32.000000000000000,725105.216499999980000,522300.158100000000000,1.5-1,617915, ,cbroder1,Abner E. VanNess,999,162,1834,IN,Starke,2,2,32,N,1,W,15,16,0, ,400400,N,N,40.000000000000000,(1/4) Section,400440, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,539844.270207999970000,4563561.741569999600000
274,32N1W2,-1.033333333330000,32.000000000000000,725882.330700000050000,521463.630300000020000,1.5-1,617909, ,cbroder1,Abner E. VanNess,999,161,1834,IN,Starke,2,2,32,N,1,W,15,22,0, ,500400,W,Y,40.189999999999998,(1/4) Section,440400, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , ,April 7 1834, , , ,540658.093529999950000,4562761.511310000000000
275,32N1W2,-1.033333333330000,32.000000000000000,726020.395699999990000,524682.226900000010000,1.5-1,617962, ,cbroder1,Abner E. VanNess,999,163,1834,IN,Starke,2,2,32,N,1,W,3,10,0, ,500600,W,Y,40.149999999999999,(1/4) Section,440600, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,540647.293435000000000,4565984.989059999600000
276,32N1W2,-1.033333333330000,32.000000000000000,728287.089999999970000,521345.049999999990000,1.5-1,617636, ,cbroder1,Abner E. VanNess,999,148,1834,IN,Starke,2,2,32,N,1,W,23,24,0, ,600300,N,N,80.000000000000000,Section,600400, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , ,"2nd,3rd,Prairie,Level,Barrens,", ,"Land in barrens level 3rd rate. Prairie 1st half 2nd rate, last half 3rd rate. Floating sod. Holes through sod in places. Water from 4 to 6 inches deep", , , ,543062.448674999990000,4562754.087430000300000
277,32N1W2,-1.033333333330000,32.000000000000000,728480.618000000020000,525387.035700000010000,1.5-1,617713, ,cbroder1,Abner E. VanNess,999,151,1834,IN,Starke,2,2,32,N,1,W,1,2,0, ,600600,N,N,40.000000000000000,(1/4) Section,600640, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,543069.084766000040000,4566803.126530000000000
278,32N2E2,2.033333333330000,32.000000000000000,740780.025000000020000,520940.309300000020000,1.5-1,639512, ,cbroder1,David Hillis,999,123,1834,IN,Marshall,2,2,32,N,2,E,18,19,0, ,200400,W,N,40.000000000000000,(1/4) Section,140400, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou,Post in prairie, , , , ,West bwtween sections 18 and 19 on Au-be-wauk-bees reserve line, , , ,555543.661845000000000,4562925.651890000300000
279,32N2E2,2.033333333330000,32.000000000000000,744116.937000000030000,524073.104300000010000,1.5-1,639452, ,cbroder1,David Hillis,999,120,1834,IN,Marshall,2,2,32,N,2,E,4,9,0, ,400600,W,Y,40.020000000000003,(1/4) Section,340600, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , ,March 4 1834, , , ,558728.560024000010000,4566210.666840000100000
280,32N2W2,-2.033333333330000,32.000000000000000,711242.968699999970000,520498.726000000020000,1.5-1,618568, ,cbroder1,"Robert Clark, Jr.",999,83,1833,IN,Starke,2,2,32,N,2,W,19,30,0, ,100300,E,Y,41.399999999999999,(1/4) Section,140300, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,526099.393170000050000,4561119.262249999700000
281,32N2W2,-2.033333333330000,32.000000000000000,712019.076699999980000,519657.506999999980000,1.5-1,618557, ,cbroder1,"Robert Clark, Jr.",999,82,1833,IN,Starke,2,2,32,N,2,W,29,30,0, ,200200,N,N,40.000000000000000,(1/4) Section,200240, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,526912.518613999940000,4560314.411790000300000
282,32N2W2,-2.033333333330000,32.000000000000000,713774.685799999980000,522768.339199999990000,1.5-1,618505, ,cbroder1,"Robert Clark, Jr.",999,77,1833,IN,Starke,2,2,32,N,2,W,16,17,0, ,300400,N,N,40.000000000000000,(1/4) Section,300440, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , , , , , , , ,528519.804505000010000,4563505.217170000100000
283,32N2W2,-2.033333333330000,32.000000000000000,713807.569999999950000,523559.469999999970000,1.5-1,618508, ,cbroder1,"Robert Clark, Jr.",999,77,1833,IN,Starke,2,2,32,N,2,W,16,17,0, ,300400,N,N,80.000000000000000,Section,300500, , , ,No tree,No tree,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , ,NA,NA,NA, ,NA, ,NA, , , , , , , , ,yes,Post in Mou, , , ,"Prairie,Marshy,", ,Floating sod, , , ,528515.995729999970000,4564297.494009999600000
