FID,Id,ORIG_FID,Id_1,POINT_X,POINT_Y,X_UTM,Y_UTM
13152,0,0,0,745967.641479999990000,521921.191398000000000,560673.711258000000000,4564144.832750000100000
13153,0,0,0,745965.571679000040000,521916.639923000010000,560671.855466000040000,4564140.188029999800000
13154,0,0,0,745963.501876999970000,521912.088448000020000,560669.999672999950000,4564135.543309999600000
13155,0,0,0,745961.432076000030000,521907.536973999990000,560668.143881000000000,4564130.898590000300000
13156,0,0,0,745959.362273999960000,521902.985499000000000,560666.288088000030000,4564126.253870000100000
13157,0,0,0,745957.292473000010000,521898.434024000020000,560664.432295999960000,4564121.609149999900000
13158,0,0,0,745955.222671000050000,521893.882549999980000,560662.576505000000000,4564116.964429999700000
13159,0,0,0,745953.152869999990000,521889.331074999990000,560660.720713000050000,4564112.319710000400000
13160,0,0,0,745951.083068000040000,521884.779600000010000,560658.864920999970000,4564107.674990000200000
13161,0,0,0,745949.013266999970000,521880.228125999970000,560657.009130000020000,4564103.030270000000000
13162,0,0,0,745946.943465000020000,521875.676650999990000,560655.153338999950000,4564098.385549999800000
13163,0,0,0,745944.873663999960000,521871.125176000000000,560653.297546999990000,4564093.740819999900000
13164,0,0,0,745942.803862000000000,521866.573702000020000,560651.441757000050000,4564089.096099999700000
13165,0,0,0,745940.734061000050000,521862.022226999980000,560649.585965999980000,4564084.451380000400000
13166,0,0,0,745938.664258999980000,521857.470751999990000,560647.730175000030000,4564079.806660000200000
13167,0,0,0,745936.594458000040000,521852.919278000020000,560645.874384999970000,4564075.161930000400000
13168,0,0,0,745934.524655999970000,521848.367802999970000,560644.018595000030000,4564070.517210000200000
13169,0,0,0,745932.454855000020000,521843.816327999990000,560642.162804999970000,4564065.872490000000000
13170,0,0,0,745930.385052999950000,521839.264854000010000,560640.307015000030000,4564061.227760000200000
13171,0,0,0,745928.315252000000000,521834.713379000020000,560638.451224999970000,4564056.583039999900000
13172,0,0,0,745926.245450000050000,521830.161903999980000,560636.595435000020000,4564051.938310000100000
13173,0,0,0,745924.175648999980000,521825.610428999990000,560634.739645999970000,4564047.293589999900000
13174,0,0,0,745922.105847000030000,521821.058955000010000,560632.883857000040000,4564042.648869999700000
13175,0,0,0,745920.036045999960000,521816.507479999970000,560631.028067999990000,4564038.004139999900000
13176,0,0,0,745917.966244000010000,521811.956004999990000,560629.172279000050000,4564033.359419999600000
13177,0,0,0,745915.896442000060000,521807.404531000010000,560627.316490000000000,4564028.714689999800000
13178,0,0,0,745913.826640999990000,521802.853056000020000,560625.460700999950000,4564024.069960000000000
13179,0,0,0,745911.756839000040000,521798.301580999980000,560623.604913000020000,4564019.425239999800000
13180,0,0,0,745909.687037999970000,521793.750107000000000,560621.749124999970000,4564014.780510000000000
13181,0,0,0,745907.617236000020000,521789.198632000010000,560619.893337000040000,4564010.135789999700000
13182,0,0,0,745905.547434999960000,521784.647157000030000,560618.037549000000000,4564005.491059999900000
13183,0,0,0,745902.641005999990000,521780.773240000010000,560615.316019000020000,4564001.485129999900000
13184,0,0,0,745898.619028000040000,521777.802770000010000,560611.440120000040000,4563998.330959999900000
13185,0,0,0,745894.597049999980000,521774.832300000010000,560607.564219999940000,4563995.176780000300000
13186,0,0,0,745890.575071000030000,521771.861831000020000,560603.688320999970000,4563992.022610000300000
13187,0,0,0,745886.553092999970000,521768.891361000020000,560599.812421999990000,4563988.868440000300000
13188,0,0,0,745882.531115000020000,521765.920891000020000,560595.936524000020000,4563985.714270000300000
13189,0,0,0,745878.509136999960000,521762.950421000020000,560592.060625000040000,4563982.560089999800000
13190,0,0,0,745874.487159000010000,521759.979951000020000,560588.184726999960000,4563979.405919999800000
13191,0,0,0,745870.465180000060000,521757.009481000020000,560584.308829999990000,4563976.251749999800000
13192,0,0,0,745866.443201999990000,521754.039011000020000,560580.432932000030000,4563973.097570000200000
13193,0,0,0,745862.421224000050000,521751.068542000020000,560576.557034999950000,4563969.943400000200000
