"","FID","density","basal","POINT_X","POINT_Y","Line","Type"
"193",96,77.1636629372,19.5497025624,588979.523174,4592516.60252,"East","Forest"
"194",96,509.149327043,115.837407623,523611.707491,4573190.13796,"West","Forest"
"195",97,16.3784539918,3.51881209669,593078.388822,4587719.19387,"East","Savanna"
"196",97,25.6255815123,9.40090383734,523576.570917,4576411.80285,"West","Savanna"
"197",98,0,0,591369.124402,4594969.91085,"East","Prairie"
"198",98,31.7274082061,11.076718856,520423.2509,4568360.0817,"West","Savanna"
"199",99,54.9003480804,16.1346818469,522031.117726,4568368.92634,"West","Forest"
"200",99,73.921349103,4.38241055329,585753.407018,4592452.03883,"East","Forest"
"201",100,39.6987210857,4.44555619353,522844.484706,4569177.63262,"West","Savanna"
"202",100,125.113405429,38.100934858,586507.726844,4595704.90662,"East","Forest"
"203",101,247.32699577,25.0644877079,523654.286353,4568381.5359,"West","Forest"
"204",101,1602.11298374,361.005365881,584982.447665,4590815.67963,"East","Forest"
"205",102,40.1621668171,14.7337404994,523648.574889,4569982.25063,"West","Savanna"
"206",102,332.751522118,41.1402751249,584911.314454,4594856.64017,"East","Forest"
"207",103,0,0,518807.541957,4569160.23326,"West","Prairie"
"208",103,419.404948835,194.6643119,588958.798479,4594123.46383,"East","Forest"
"209",104,109.322055118,9.0846656852,590643.73211,4589307.73515,"East","Forest"
"210",104,146.139634259,13.3290082209,523584.659943,4575606.77878,"West","Forest"
"211",105,0,0,525227.933776,4573194.55463,"West","Prairie"
"212",105,1201.43440149,253.250731502,587420.52155,4589249.8301,"East","Forest"
"213",106,1.69202245106,0.0994538099675,523646.757037,4570779.23054,"West","Savanna"
"214",106,304.350855807,8.01927645516,589845.300453,4589296.90623,"East","Forest"
"215",107,0,0,522834.760743,4578835.35597,"West","Prairie"
"216",107,165.200268068,6.11069943067,589003.755597,4590902.55329,"East","Forest"
"217",108,0,0,523610.656778,4578025.62729,"West","Prairie"
"218",108,0,0,586433.499471,4566650.37339,"East","Prairie"
"219",109,0,0,523609.775794,4578834.57013,"West","Prairie"
"220",109,0,0,593933.970806,4560498.96534,"East","Prairie"
"221",110,0,0,523619.521097,4579646.94639,"West","Prairie"
"222",110,58.1932259335,14.7434714066,591392.874515,4563591.27496,"East","Forest"
"223",111,0,0,523626.500469,4580459.34424,"West","Prairie"
"224",111,33.5237030419,3.53323590014,593900.53293,4561286.19484,"East","Savanna"
"225",112,0,0,524409.815689,4578841.33867,"West","Prairie"
"226",112,424.133954034,31.162217764,588951.552674,4564314.69851,"East","Forest"
"227",113,0,0,517953.054376,4578841.12275,"West","Prairie"
"228",113,47.5037206343,3.12916376895,593867.089245,4562073.41882,"East","Forest"
"229",114,0,0,522006.257151,4583673.87072,"West","Prairie"
"230",114,17.8870528396,5.69188016838,592257.451252,4562008.18686,"East","Savanna"
"231",115,0,0,516314.389752,4578845.35139,"West","Prairie"
"232",115,89.518296087,13.1089215514,590727.734957,4559544.39253,"East","Forest"
"233",116,0,0,516348.49598,4585269.77155,"West","Prairie"
"234",116,423.502225635,206.866442319,585806.737555,4561817.72815,"East","Forest"
"235",117,0,0,517140.383163,4578036.31119,"West","Prairie"
"236",117,38.5450119289,33.1246537214,590584.500576,4563565.03717,"East","Savanna"
"237",118,0,0,517137.440406,4578840.35328,"West","Prairie"
"238",118,36.907211364,5.40463524889,586661.042615,4558612.93344,"East","Savanna"
"239",119,0,0,517134.653897,4579648.42825,"West","Prairie"
"240",119,24.3441949683,8.93081922004,592141.68091,4565223.36764,"East","Savanna"
"241",120,0,0,517131.86704,4580456.49791,"West","Prairie"
"242",120,41.1999822315,20.8763391354,589728.786914,4565143.86469,"East","Savanna"
"243",121,0,0,517146.322588,4582060.72919,"West","Prairie"
"244",121,61.2343316743,22.4641951379,585005.478818,4560178.83494,"East","Forest"
"245",122,0,0,517157.462398,4586081.81569,"West","Prairie"
"246",122,166.649341982,9.54199888052,590533.366028,4565172.09075,"East","Forest"
"247",123,0,0,517950.165143,4580460.6806,"West","Prairie"
"248",123,546.506942059,93.321755208,592373.254043,4558793.33445,"East","Forest"
"249",124,0,0,517960.76047,4582065.53021,"West","Prairie"
"250",124,29.0991160866,7.66726467323,589781.694964,4563539.4031,"East","Savanna"
"251",125,0,0,518761.986412,4578036.61019,"West","Prairie"
"252",125,327.923849062,173.472571438,590756.005287,4558739.63542,"East","Forest"
"253",126,0,0,518768.669806,4578841.87689,"West","Prairie"
"254",126,24.5138175817,17.8867219823,589893.354504,4560320.99425,"East","Savanna"
"255",127,0,0,518768.566206,4579653.37466,"West","Prairie"
"256",127,28.0630412206,11.6601973556,588978.899043,4563513.75945,"East","Savanna"
"257",128,0,0,518771.834223,4581267.59385,"West","Prairie"
"258",128,26.9373593471,6.82468072416,584953.718335,4561797.78757,"East","Savanna"
"259",129,0,0,518775.203519,4582070.31513,"West","Prairie"
"260",129,78.357487479,17.827241902,592171.470065,4564420.43782,"East","Forest"
"261",130,0,0,518775.215451,4585288.92638,"West","Prairie"
"262",130,71.174005315,4.68837210536,593842.018983,4562879.10944,"East","Forest"
"263",131,0,0,519569.580692,4578840.58858,"West","Prairie"
"264",131,11.5517575363,2.48182546271,588177.247338,4563491.85518,"East","Savanna"
"265",132,0,0,519574.062796,4580459.51416,"West","Prairie"
"266",132,421.171476747,61.462292328,585892.390991,4559397.90315,"East","Forest"
"267",133,0,0,519583.80973,4582063.89995,"West","Prairie"
"268",133,83.1323306625,19.7139260923,590459.006684,4566769.54886,"East","Forest"
"269",134,0,0,519591.16817,4583672.32964,"West","Prairie"
"270",134,36.4919102806,3.03247871398,591272.893862,4566797.5193,"East","Savanna"
"271",135,0,0,519590.57736,4585287.96971,"West","Prairie"
"272",135,39.5988573296,17.4967124145,593652.877068,4567707.74339,"East","Savanna"
"273",136,0,0,520358.232402,4578027.26939,"West","Prairie"
"274",136,13.0059797838,5.93120450652,587313.468144,4565075.80952,"East","Savanna"
"275",137,0,0,520370.494093,4578839.28786,"West","Prairie"
"276",137,22.6918877071,11.498149216,588924.203599,4565115.63663,"East","Savanna"
"277",138,0,0,520375.077839,4579646.72788,"West","Prairie"
"278",138,6.58834858425,2.41697662384,588118.838332,4565095.7224,"East","Savanna"
"279",139,0,0,520392.416783,4582057.4764,"West","Prairie"
"280",139,13.7785176286,5.05473482369,592201.25131,4563617.49635,"East","Savanna"
"281",140,0,0,520407.196623,4584478.41295,"West","Prairie"
"282",140,88.1352258431,27.9117363167,592229.354707,4562812.85003,"East","Forest"
"283",141,0,0,521188.562597,4578836.84138,"West","Prairie"
"284",141,84.772364634,34.3638329447,585871.00554,4560202.61854,"East","Forest"
"285",142,0,0,521214.02789,4585288.13501,"West","Prairie"
"286",142,49.314210857,6.09704258995,592313.544098,4560395.34774,"East","Forest"
"287",143,0,0,521998.130921,4580460.23488,"West","Prairie"
"288",143,248.421232421,16.1122427436,591337.524787,4565197.73226,"East","Forest"
"289",144,0,0,522014.187881,4584481.56639,"West","Prairie"
"290",144,317.511187254,41.8301762525,592343.39918,4559594.34576,"East","Forest"
"291",145,0,0,522022.113307,4585289.25837,"West","Prairie"
"292",145,30.5477904678,6.00577203318,593062.272451,4562040.80677,"East","Savanna"
"293",146,0,0,522812.315748,4580459.79484,"West","Prairie"
"294",146,1.12320641265,0.16391148188,585071.383939,4558569.22813,"East","Savanna"
"295",147,0,0,522809.040501,4582059.04373,"West","Prairie"
"296",147,54.4861913721,12.8103721536,588228.581967,4561883.30736,"East","Forest"
"297",148,0,0,522836.649093,4585292.5582,"West","Prairie"
"298",148,125.47283555,67.3927056487,592051.717946,4567630.93587,"East","Forest"
"299",149,0,0,523642.615062,4582864.96367,"West","Prairie"
"300",149,84.1012528905,25.3983813693,588859.521851,4566704.60745,"East","Forest"
"301",150,0,0,523655.476238,4584482.47625,"West","Prairie"
"302",150,90.1052160143,34.7449670006,591456.854368,4558763.91396,"East","Forest"
"303",151,0,0,523651.188643,4585295.85173,"West","Prairie"
"304",151,57.9776565674,12.3680168376,590558.932644,4564368.56907,"East","Forest"
"305",152,0,0,524447.401131,4583663.56701,"West","Prairie"
"306",152,49.3675294593,16.4097720394,592114.234566,4566024.42828,"East","Forest"
"307",153,0,0,524444.979351,4585293.82055,"West","Prairie"
"308",153,172.376494289,84.2000583572,585838.873328,4561010.17843,"East","Forest"
"309",154,0,0,525236.904986,4584474.91143,"West","Prairie"
"310",154,16.9762491577,6.54611622799,589837.334495,4561928.43517,"East","Savanna"
"311",155,0,0,523647.716838,4586089.87908,"West","Prairie"
"312",155,7.47201447171,3.95271514388,590699.464181,4560349.14165,"East","Savanna"
"313",156,0,0,517949.314814,4577231.79916,"West","Prairie"
"314",156,58.1837704992,7.19364500847,591506.499556,4560372.25257,"East","Forest"
"315",157,0,0,519550.637816,4577223.29114,"West","Prairie"
"316",157,11.2679950991,13.4346356013,588276.615596,4558660.21463,"East","Savanna"
"317",158,0,0,520345.970833,4577215.24433,"West","Prairie"
"318",158,21.2506511572,7.79593344697,588282.676201,4560270.8971,"East","Savanna"
"319",159,0,0,521207.35604,4583671.84464,"West","Prairie"
"320",159,50.0266566019,26.8191161556,592886.807869,4566871.19955,"East","Forest"
"321",160,0,0,525209.852753,4578848.09816,"West","Prairie"
"322",160,76.0121958107,15.406379248,586566.005337,4563448.64505,"East","Forest"
"323",161,0,0,525235.031336,4583658.03222,"West","Prairie"
"324",161,17.5289776483,6.43061439055,587453.174367,4561057.90911,"East","Savanna"
"325",162,2.29046296299,0.543158326126,585756.409132,4563427.33696,"East","Savanna"
"326",162,2.53281348348,0.600629110491,522002.379192,4579647.31568,"West","Savanna"
"327",163,111.24675158,73.2804293665,587526.786164,4558639.64073,"East","Forest"
"328",163,946.085977999,65.1968823653,525238.771705,4585291.78414,"West","Forest"
"329",164,40.9482597802,11.2873414807,584803.748898,4566629.11252,"East","Savanna"
"330",164,212.945382437,21.5802035841,524414.906517,4580460.21721,"West","Forest"
"331",165,65.1493944101,26.409348325,584182.659528,4558544.5425,"East","Forest"
"332",165,99.5531318716,40.3554531895,522779.103306,4577209.15196,"West","Forest"
"333",166,1.17068555612,0.185670074738,593753.377381,4565303.88975,"East","Savanna"
"334",166,1.3551878335,0.154503857434,522006.630414,4578834.39123,"West","Savanna"
"335",167,0,0,517146.412418,4584471.12564,"West","Prairie"
"336",167,4.17607306693,1.5002776465,591451.599816,4561982.65692,"East","Savanna"
"337",168,0,0,523611.537044,4577216.67727,"West","Prairie"
"338",168,396.373555538,197.832763431,585913.773296,4558593.17727,"East","Forest"
"339",169,0,0,521992.615762,4582057.25685,"West","Prairie"
"340",169,89.5749402382,71.5319484417,589058.087088,4561096.29519,"East","Forest"
"341",170,0,0,517139.09179,4581258.6164,"West","Prairie"
"342",170,20.2506238289,7.40854492146,589888.566725,4558711.48931,"East","Savanna"
"343",171,0,0,516314.978537,4577233.04352,"West","Prairie"
"344",171,68.794442418,11.8519438878,589028.921773,4561899.7494,"East","Forest"
"345",172,0,0,517150.166351,4585275.95427,"West","Prairie"
"346",172,0,0,592285.497523,4561201.77539,"East","Prairie"
"347",173,0,0,525207.26602,4579657.72199,"West","Prairie"
"348",173,189.437682736,117.491136574,587478.104441,4560248.95603,"East","Forest"
"349",174,0,0,516330.717824,4582058.58649,"West","Prairie"
"350",174,2.99462063019,1.34137865661,592086.782946,4566825.47766,"East","Savanna"
"351",175,0,0,587222.231752,4566649.73566,"East","Prairie"
"352",175,99.5309738453,21.9888267383,525203.294761,4580467.3328,"West","Forest"
"353",176,0,0,518768.466141,4580464.86143,"West","Prairie"
"354",176,40.0427651289,7.40583852971,585644.76879,4566651.00482,"East","Savanna"
"355",177,0,0,590645.744196,4561957.11547,"East","Prairie"
"356",177,0.411172587883,0.279389606369,520408.902046,4586077.56598,"West","Prairie"
"357",178,1.53731225513,0.489970631333,520405.945918,4585287.00226,"West","Savanna"
"358",178,10.8828046333,8.69069203796,585729.576595,4564234.09851,"East","Savanna"
"359",179,14.9097278628,8.00816285654,524418.741778,4582068.16582,"West","Savanna"
"360",179,190.952821609,52.6359292379,587502.446768,4559444.29802,"East","Forest"
"361",180,21.1565462648,9.91616670742,522833.018344,4583672.92991,"West","Savanna"
"362",180,25.5907596257,12.1501064523,589148.556347,4558688.19775,"East","Savanna"
"363",181,11.7424913949,1.07695148656,521989.699192,4577211.82294,"West","Savanna"
"364",181,64.2338956482,31.7666482484,589117.906133,4559490.51835,"East","Forest"
"365",182,0.502694235564,0.103161166188,592947.529104,4565263.6343,"East","Savanna"
"366",182,15.4364404701,1.90850940019,525216.54169,4578035.30776,"West","Savanna"
"367",183,52.1149117136,7.10348717966,518774.549449,4584481.88585,"West","Forest"
"368",183,144.215345196,91.489892502,590496.187681,4565970.82287,"East","Forest"
"369",184,8.51968247158,7.32160966009,586508.104305,4565058.33256,"East","Savanna"
"370",184,19.2670036891,2.81166764229,517143.327447,4577232.2579,"West","Savanna"
"371",185,42.1106185785,15.7899463835,593720.106282,4566110.40549,"East","Savanna"
