FID,density,basal,POINT_X,POINT_Y
238,127.474758840000010,63.042195771400003,591137.210833000020000,4570017.378659999900000
239,64.893225593099999,48.533658940199999,591980.168927000020000,4569242.346769999700000
240,75.451657113400003,19.574742512499999,593509.192074000020000,4571728.344370000100000
241,103.162943302000000,33.454998359500003,593562.760388000050000,4570114.102789999900000
242,180.137005082000000,25.283664663200000,593451.932453999990000,4573346.175160000100000
243,362.167598860999990,18.351303102999999,592753.224628999950000,4570081.205120000100000
244,445.873009450999970,19.203811032400001,593428.213392999950000,4574146.567320000400000
245,107.403540500999990,23.129425332699999,592016.648903000050000,4568436.378790000500000
246,143.236964346000010,117.578370609999990,586248.362516999940000,4571460.598140000400000
247,138.924529643999990,41.954882527700001,591916.891315000020000,4570861.063000000100000
248,69.694366970100006,31.783191295300000,587004.583408999960000,4573103.512410000000000
249,38.742462513699998,21.751253829900001,586947.403216999960000,4574708.238189999900000
250,148.296390378000010,29.155441369599998,591081.075584999980000,4571636.432760000200000
251,46.064146316299997,6.465470145510000,587963.077594000030000,4568296.844669999600000
252,348.489622918000010,28.959496924600000,591943.690062999960000,4570048.304309999600000
253,12.539226666799999,6.201230655740000,586912.031945999940000,4575522.057020000200000
254,7.753029546030000,0.333924034814000,586085.472327000000000,4576312.694919999700000
255,48.586981197699998,11.841925031400001,585400.325959000040000,4573052.238420000300000
256,235.920487417000000,29.168412808900001,591799.958277000000000,4574089.225900000000000
257,178.172647710000010,38.279319182000002,587079.785593000010000,4570681.505570000000000
258,107.566407922000000,49.054233054299999,591023.772078000010000,4573254.061940000400000
259,148.717847729999990,48.830976826600001,591836.616739999970000,4573294.812010000500000
260,3.716874919410000,1.220422671710000,587909.919287999980000,4569904.414040000200000
261,11.071122214100001,5.048838385120000,588600.856858000040000,4573165.970750000300000
262,209.096531744000000,33.586396146699997,593590.842644999970000,4569306.338100000300000
263,237.693463492000010,29.387617586899999,585439.253395000010000,4571435.604989999900000
264,3.017341871720000,0.337889042240000,589300.450314000020000,4576425.378499999600000
265,16.673503037700002,9.732774173159999,585419.786297000010000,4572243.921160000400000
266,78.040551431599994,9.213689342410000,589594.294755000040000,4568356.072730000100000
267,5.903423639640000,2.919517496640000,586876.660380000020000,4576335.862490000200000
268,617.502053519000010,281.603617988999990,590301.398767999960000,4570792.748329999900000
269,64.247791645199996,51.045983698100002,593535.979245999940000,4570921.223439999900000
270,614.940174351999990,361.005365880999990,585376.543377000020000,4573853.330040000400000
271,0.000000000000000,0.000000000000000,586872.424845000030000,4577075.166829999500000
272,0.000000000000000,0.000000000000000,588505.417205999950000,4576399.146710000000000
273,2.126025176120000,0.586036434474000,587102.093913999970000,4569877.419409999600000
274,27.376312834899998,18.865624150500000,588800.512289999980000,4568326.835930000100000
275,0.000000000000000,0.000000000000000,587691.037172000040000,4576367.509829999900000
276,54.538711768100001,12.933261035699999,586298.016280999990000,4569851.179850000000000
277,15.911232159900001,10.481042438199999,590272.056739000020000,4571599.047949999600000
278,2.926868189510000,2.172691692870000,584740.719598999950000,4568195.479679999900000
279,24.714669862800001,17.331981559100001,586975.992450000020000,4573905.878229999900000
280,37.571294119999997,18.580751992500002,587744.759298000020000,4574738.124529999700000
281,40.940871814399998,12.032126650500000,586365.986389999980000,4568244.835040000300000
282,9.848844499780000,3.992386534810000,589464.506924999990000,4571574.711149999900000
283,10.204069057800000,5.046386634180000,585493.938147000040000,4569824.934150000100000
284,14.700902223800000,3.582996468130000,585352.763444000040000,4574654.415480000000000
285,139.905351394000010,119.380592053000000,586150.080523999990000,4574681.333470000000000
286,36.412081578100000,5.774935782390000,585578.363938000050000,4568222.689720000100000
287,0.496866893042000,0.226589553738000,587153.613546999990000,4568266.971509999600000
288,162.718798227000010,20.118003020600000,588571.488381000000000,4573966.990009999800000
289,190.294222146000010,62.482431622500002,584484.811777999970000,4576264.344929999700000
290,84.992568241200004,46.339414115200000,589405.891127999990000,4573189.643120000100000
291,12.433376193200001,1.064714315570000,590179.518239000000000,4574016.725780000000000
292,37.384162529599998,13.714612361600000,587857.216002000030000,4571517.983520000200000
293,51.637276267899999,17.164236119900000,584531.092049999980000,4574630.597540000500000
294,4.231252368600000,1.372164621520000,589345.112041000040000,4574794.072830000000000
295,1.584812674260000,0.542852630070000,590904.380859000030000,4576483.769630000000000
296,133.717250681000000,19.513592929300000,585466.596508000050000,4570630.272210000100000
297,72.602690686100004,29.467449425000002,588656.958503999980000,4571550.375459999800000
298,143.822895120000000,188.894946126000010,591690.772964000000000,4577227.531729999900000
299,67.936775747200002,67.884270727200004,590095.489048999970000,4576451.606080000300000
300,0.000000000000000,0.000000000000000,590071.353882999970000,4577177.153079999600000
301,29.789379098500000,14.732233158400000,585536.153914000020000,4569023.816479999600000
302,0.000000000000000,0.000000000000000,585294.279639999960000,4576289.517749999600000
303,24.125782016799999,11.650152620200000,593331.421204000010000,4577272.551339999800000
304,225.604154327999990,27.892936204500000,587127.852151999950000,4569072.198409999700000
305,29.158835664300000,10.638000081300000,588628.906158000000000,4572358.175560000400000
306,9.605073183269999,5.606740706970000,588542.117109999990000,4574768.005429999900000
307,4.566744361080000,1.594348427270000,583903.074383000030000,4568168.265030000400000
308,41.858738394100001,29.609349590600001,585269.859309999970000,4577038.721289999800000
309,1.605575947470000,0.367727918060000,585323.524309000000000,4575471.971629999600000
310,0.797182445924000,0.466952683534000,587802.718175000050000,4573134.743859999800000
311,71.397028810699993,35.309150680099997,588687.353034000030000,4570740.891979999800000
312,11.518637976500001,0.747082241499000,592817.783214000050000,4568467.479829999600000
313,26.983717889600001,27.345703337100002,587031.031495000000000,4572294.551860000000000
314,0.000000000000000,0.000000000000000,586202.452002999950000,4573077.875009999600000
315,144.038221400999990,46.710556198299997,590210.934826000010000,4573213.306619999900000
316,0.000000000000000,0.000000000000000,588745.148066999970000,4569129.060039999900000
317,57.686318703600001,4.793734617110000,584572.838424999970000,4573024.241650000200000
318,49.449480720799997,3.733406836090000,587057.479448999980000,4571485.591260000100000
319,221.573766054999990,5.613654221580000,590359.409354000000000,4569185.878730000000000
320,0.000000000000000,0.000000000000000,585166.970911000040000,4581797.785199999800000
