"","FID","POINT_X","POINT_Y","Join","Surveyor","SurveyYear","State","County","cornerid","TreeNo","Group_","L2_tree","L1_tree","L3_tree","TDiameter","TDistance","TDegree","water","generalnotes","Line","AREASYMBOL","MUSYM","MUKEY","temp","precip","DEM","om_r","sandtotal_r","silttotal_r","claytotal_r","kwfact","awc_r","ksat_r","CLASS","NCCPI","distance"
"621",620,729180.3043,522935.2004,"232117640500tree2","Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","Black Oak","b oak","Oak",20,8.247888,"333.5"," "," ","West","IN149","MdA",162615,9.800000191,1031.150024,226.3960266,0.56,72.5800018,19.4300003,7.9899998,0.18,0.11,63.6699982,"Developed_ Open Space",0.49000001,-15706.1201541829
"622",621,721913.7954,523248.9809,"232117200500tree2","Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",20,4.02336,"333"," "," ","West","IN149","PlB",162626,9.789999962,1018.530029,222.825119,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Developed_ Low Intensity",0.330000013,-21835.563128449
"623",622,738872.9926,536391.0634,"234113600140tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W oak","Oak",20,1.810512,"29"," "," ","West","IN099","RoqB",2481964,10.05000019,1018.719971,253.1847687,0.68,52.8400002,29.7199993,17.4300003,0.27,0.15,32.1699982,"Developed_ Open Space",0.75999999,-2398.35894765475
"624",623,725701.2479,516690.4835,"232117440100tree2","Robert Clark Jr",1833,"IN","Starke",NA,"tree2","Oak","Double P oa","Double P oak","Oak",20,51.29784,"30.25"," "," ","West","IN149","An",162605,9.850000381,1033.420044,218.0568085,0.72,82.5,11,6.5,0.14,0.08,72.6900024,"Woody Wetlands",0.5,-19008.2570704335
"625",624,711885.4682,533488.1979,"233127140500tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",20,140.415264,"30.67"," "," ","West","IN149","As",162606,9.81000042,1000.590027,207.2416687,0.87,80.3899994,13.2600002,6.3499999,0.11,0.1,75.2300034,"Cultivated Crops",0.560000002,-24498.6426957977
"626",625,726859.6315,545600.4521,"235117440100tree2","Robert Clark Jr",1833,"IN","St. Joseph",NA,"tree2","Oak","White Oak","W. Oak","Oak",20,8.247888,"32"," "," ","West","IN141","CnbB",625115,9.789999962,1011.440002,216.5335388,0.39,91.75,5.4000001,2.8499999,0.02,0.07,55,"Deciduous Forest",0.449999988,-6663.97039249117
"627",626,725757.6271,518270.4468,"232117440200tree1","Abner E. VanNess",1834,"IN","Starke",NA,"tree1","Oak","White Oak","W oak","Oak",20,15.0876,"56.5"," "," ","West","IN149","BeA",162607,9.850000381,1032.689941,221.1710205,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Deciduous Forest",0.319999993,-19129.7277450958
"628",627,729116.0492,540682.5535,"234117600400tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",20,17.702784,"75"," "," ","West","IN149","Mr",162620,9.850000381,1014.099976,223.8982697,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Developed_ Open Space",0.370000005,-5995.03192403186
"629",628,717514.8826,533939.2378,"233127500540tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","Black Oak","b oak","Oak",20,9.05256,"326.33"," "," ","West","IN149","BeA",162607,9.81000042,1007.179993,212.1071014,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Developed_ Low Intensity",0.319999993,-19049.4605400453
"630",629,726634.7364,539195.6314,"234117440300tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","Black Oak","b oak","Oak",20,5.0292,"34"," "," ","West","IN149","PlB",162626,9.829999924,1013.799988,220.9989929,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Cultivated Crops",0.330000013,-8740.92498568632
"631",630,712770.1105,538273.2418,"234127200200tree2","Jeremiah Smith",1835,"IN","Starke",NA,"tree2","Oak","Red Oak","r oak","Oak",20,122.71248,"326"," "," ","West","IN149","OvA",162624,9.81000042,1002.030029,207.0345764,0.48,86.5899963,8.5200005,4.9000001,0.1,0.09,86.6399994,"Cultivated Crops",0.449999988,-21933.6074754338
"632",631,730527.4425,535800.4035,"233117700700tree1","David Hillis",1834,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",20,12.874752,"298"," "," ","West","IN149","Gf",162613,9.899999619,1016.549988,228.0641632,1.6900001,76.7600021,13.5900002,9.6499996,0.15,0.13,15.3999996,"Developed_ Open Space",0.680000007,-6732.64927145797
"633",632,713717.5974,539748.0332,"234127240300tree1","Jeremiah Smith",1835,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",20,5.632704,"134.5"," "," ","West","IN149","BeA",162607,9.800000191,1002.700012,207.2355042,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Cultivated Crops",0.319999993,-20588.0892134466
"634",633,717705.3175,537225.7114,"234127500140tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",20,87.50808,"37"," "," ","West","IN149","BeA",162607,9.81000042,1007.01001,210.2148743,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Developed_ Open Space",0.319999993,-17793.7815101747
"635",634,721757.3102,519229.7816,"232117200240tree1","Abner E. VanNess",1834,"IN","Starke",NA,"tree1","Oak","Black Oak","B oak","Oak",20,21.323808,"132"," "," ","West","IN149","Me",162616,9.829999924,1024.079956,219.296814,1.72,89.7099991,6.8600001,3.4300001,0.07,0.08,91.7399979,"Cultivated Crops",0.479999989,-23230.6314616764
"636",635,741468.4739,517706.5721,"232123200200tree2","Jeremiah Smith",1836,"IN","Marshall",NA,"tree2","Oak","Black Oak","B Oak","Oak",20,21.12264,"321.25"," "," ","West","IN099","WkxB",2481976,9.920000076,1023.960022,241.5492859,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,"Cultivated Crops",0.790000021,-3763.59766375402
"637",636,725307.8987,525592.2256,"232117400640tree2","Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","White Oak","W oak","Oak",20,86.099904,"39"," "," ","West","IN149","BeA",162607,9.789999962,1022,221.3238525,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Cultivated Crops",0.319999993,-17930.2217458446
"638",637,733733.3024,528440.8862,"233113300240tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W. Oak","Oak",20,7.443216,"321"," "," ","West","IN099","PrxA",2481958,9.899999619,1020.26001,229.819458,0.73,94.3499985,3.74,1.91,0.03,0.07,55,"Deciduous Forest",0.389999986,-10578.1956924082
"639",638,732560.5626,516376.4892,"232113240100tree2","David Hillis",1833,"IN","Marshall",NA,"tree2","Oak","Yellow Oak","Y. Oak","Oak",20,23.938992,"40"," "," ","West","IN099","BsxA",2481932,9.859999657,1036.47998,224.3325958,0.6,86.9800034,8.7399998,4.2800002,0.1,0.09,91.7399979,"Developed_ Open Space",0.419999987,-12148.4680559731
"640",639,713044.4829,525234.0463,"232127240600tree1","Robert Clark Jr",1833,"IN","Starke",NA,"tree1","Oak","White Oak","W oak","Oak",20,43.653456,"329"," "," ","West","IN149","PlB",162626,9.829999924,994.6900024,218.4499054,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Developed_ Open Space",0.330000013,-27060.5721549788
"641",640,704058.4778,525592.0696,"232137300600tree1","Abner E. Van Ness",1834,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",20,87.105744,"295"," "," ","West","IN149","PtA",162628,9.880000114,983.8599854,207.9045868,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,"Deciduous Forest",0.370000005,-34722.8208423162
"642",641,732779.8382,546194.5258,"235113200140tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","Black Oak","B oak","Oak",20,3.01752,"319"," "," ","West","IN099","TxuC",1702571,9.869999886,1016.27002,221.121048,0.48,88.9300003,6.6500001,4.4200001,0.08,0.09,91.7399979,"Herbaceous",0.449999988,-899.141801744115
"643",642,718492.1876,519371.5689,"232127600240tree1","Robert Clark Jr",1833,"IN","Starke",NA,"tree1","Oak","Black Oak","B oak","Oak",20,16.898112,"131"," "," ","West","IN149","Mr",162620,9.800000191,1010.950012,219.4041595,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Developed_ Low Intensity",0.370000005,-26478.1223239446
"644",643,718497.3695,519400.9717,"232127600240tree2","Robert Clark Jr",1833,"IN","Starke",NA,"tree2","Oak","Black Oak","B oak","Oak",20,24.944832,"42"," "," ","West","IN149","Mr",162620,9.800000191,1010.950012,219.3156738,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Developed_ Low Intensity",0.370000005,-26477.3755392355
"645",644,727564.421,523013.3119,"232117540500tree2","Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","White Oak","W oak","Oak",20,6.03504,"317"," "," ","West","IN149","MdA",162615,9.789999962,1030.670044,225.0608521,0.56,72.5800018,19.4300003,7.9899998,0.18,0.11,63.6699982,"Developed_ Open Space",0.49000001,-17312.6461081916
"646",645,726914.5275,526278.0022,"233117500100tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","Yellow Oak","y oak","Oak",20,14.282928,"67.5"," "," ","West","IN149","BeA",162607,9.81000042,1021.97998,224.6062164,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Developed_ Open Space",0.319999993,-16364.5060739711
"647",646,726881.2182,526295.7803,"233117500100tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","Yellow Oak","y oak","Oak",20,30.1752,"316.5"," "," ","West","IN149","Mr",162620,9.81000042,1020.460022,223.8188171,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Developed_ Open Space",0.370000005,-16373.3457854769
"648",647,727723.5725,526237.9309,"233117540100tree1","David Hillis",1834,"IN","Starke",NA,"tree1","Oak","Yellow Oak","y oak","Oak",20,14.282928,"67.5"," "," ","West","IN149","PlB",162626,9.819999695,1022.98999,229.0113525,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Cultivated Crops",0.330000013,-15870.2881772394
"649",648,727690.2726,526255.6982,"233117540100tree2","David Hillis",1834,"IN","Starke",NA,"tree2","Oak","Yellow Oak","y oak","Oak",20,30.1752,"316.5"," "," ","West","IN149","PlB",162626,9.819999695,1022.98999,227.991333,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Developed_ Open Space",0.330000013,-15877.6633412264
"650",649,744852.0523,521630.095,"232123400440tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","Bur Oak","Burr Oak","Oak",20,11.667744,"44"," "," ","West","IN099","RopB",1702566,9.960000038,1019.830017,241.7109833,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Cultivated Crops",0.75,-893.8535013535
"651",650,722536.8486,537751.5627,"234117200200tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","Black Oak","b oak","Oak",20,6.638544,"44.5"," "," ","West","IN149","PlB",162626,9.800000191,1011.570007,217.904007,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Developed_ Open Space",0.330000013,-13073.5284792323
"652",651,729076.2852,539888.005,"234117600340tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",20,9.857232,"45"," "," ","West","IN149","BeA",162607,9.850000381,1014.359985,224.4985809,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Developed_ Open Space",0.319999993,-6203.66969571609
"653",652,725683.4318,536859.4427,"234117400140tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","Red Oak","r oak","Oak",20,70.006464,"314.75"," "," ","West","IN149","BeA",162607,9.81000042,1013.849976,217.9857636,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Evergreen Forest",0.319999993,-10386.6521099914
"654",653,728304.191,540720.18,"234117540400tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","Black Oak","b oak","Oak",20,6.839712,"105"," "," ","West","IN149","PlB",162626,9.840000153,1013.650024,222.3283691,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Cultivated Crops",0.330000013,-6781.69354516262
"655",654,703647.3807,555369.7786,"235137200640tree1","William Clark",1834,"IN","LaPorte",NA,"tree1","Oak","Yellow Oak","y oak","Oak",20,42.24528,"18"," "," ","West","IN091","TcB",272695,9.850000381,1009.690002,234.8215179,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,"Herbaceous",0.550000012,-30868.1774178823
"656",655,706006.6977,551337.1254,"235137340400tree2","William Clark",1834,"IN","LaPorte",NA,"tree2","Oak","Yellow Oak","y oak","Oak",20,6.236208,"46"," "," ","West","IN091","TcB",272695,9.819999695,1004.599976,219.5371857,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,"Developed_ Open Space",0.550000012,-28150.5412294003
"657",656,716979.1999,521868.9276,"232127500400tree2","Robert Clark Jr",1833,"IN","Starke",NA,"tree2","Oak","Black Oak","B oak","Oak",20,8.449056,"47"," "," ","West","IN149","Nf",162622,9.81000042,1004.049988,219.2393036,1.9,88.3899994,8.0799999,3.53,0.07,0.09,91.7399979,"Developed_ Medium Intensity",0.439999998,-26157.5732765873
"658",657,730146.8119,547084.1892,"235117640200tree2","William Clark",1834,"IN","St. Joseph",NA,"tree2","Oak","Yellow Oak","y oak","Oak",20,9.454896,"313"," "," ","West","IN141","CnbB",625115,9.850000381,1014.130005,223.1537781,0.39,91.75,5.4000001,2.8499999,0.02,0.07,55,"Developed_ Open Space",0.449999988,-3649.4953472033
"659",658,730156.1833,526924.6416,"233117700140tree1","David Hillis",1834,"IN","Starke",NA,"tree1","Oak","Black Oak","b oak","Oak",20,11.06424,"217"," "," ","West","IN149","BeA",162607,9.850000381,1022.219971,228.9211578,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Cultivated Crops",0.319999993,-13874.3010900889
"660",659,714518.4908,539714.6491,"234127300300tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",20,0.804672,"228"," "," ","West","IN149","PtA",162628,9.800000191,1003.26001,208.0469666,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,"Herbaceous",0.370000005,-19828.4861533138
"661",660,729989.9969,542271.1504,"234117640500tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",20,23.335488,"48.5"," "," ","West","IN149","BeA",162607,9.859999657,1014.75,221.708786,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Developed_ Open Space",0.319999993,-4688.51567229369
"662",661,724612.418,548927.1396,"235117300300tree2","William Clark",1834,"IN","St. Joseph",NA,"tree2","Oak","Red Oak","R. Oak","Oak",20,55.723536,"49"," "," ","West","IN091","Qu",272683,9.779999733,1009.280029,210.4752655,1.16,56.4000015,32.1599998,11.4399996,0.36,0.15,9.1700001,"Cultivated Crops",0.649999976,-9477.3613973559
"663",662,737469.2811,542889.3141,"234113500540tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W oak","Oak",20,10.863072,"311"," "," ","West","IN099","RopB",1702566,9.989999771,1018.400024,241.1604462,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,"Developed_ Open Space",0.75,-31.4002870194817
"664",663,722315.7716,532931.7449,"233117200500tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",20,14.484096,"309.5"," "," ","West","IN149","BeA",162607,9.800000191,1012.119995,217.1737823,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,"Developed_ Open Space",0.319999993,-15118.5818897844
"665",664,735502.7523,532413.966,"233113400500tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Black Oak","B. Oak","Oak",20,7.443216,"118"," "," ","West","IN099","CnbB",1702543,10.01000023,1018.75,248.6513824,0.39,91.75,5.4000001,2.8499999,0.02,0.07,55,"Developed_ Open Space",0.449999988,-6515.80998682486
"666",665,736635.0282,518668.7651,"232113500240tree1","Jeremiah Smith",1836,"IN","Marshall",NA,"tree1","Oak","White Oak","W. Oak","Oak",20,19.714464,"62"," "," ","West","IN099","WkxC2",2481978,9.880000114,1032.609985,234.6582336,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,"Deciduous Forest",0.649999976,-8598.34897732988
"667",666,717572.6862,553998.774,"235127440600tree1","William Clark",1834,"IN","LaPorte",NA,"tree1","Oak","Yellow Oak","y oak","Oak",20,8.247888,"203"," "," ","West","IN091","TcB",272695,9.81000042,1004.530029,217.8036499,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,"Deciduous Forest",0.550000012,-16890.7634395739
"668",667,744823.8629,520854.4954,"232123400400tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Bur Oak","Burr Oak","Oak",20,36.813744,"4"," "," ","West","IN099","WkxB",2481976,9.949999809,1020.059998,244.3090057,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,"Cultivated Crops",0.790000021,-1111.66204024265
"669",668,706777.2699,548895.4653,"235137400240tree2","William Clark",1834,"IN","LaPorte",NA,"tree2","Oak","Yellow Oak","y oak","Oak",20,6.638544,"307"," "," ","West","IN091","TcA",272694,9.800000191,1001.669983,218.6431122,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,"Cultivated Crops",0.550000012,-26972.6258876579
"670",669,724156.9009,537679.7933,"234117300200tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",20,1,"49.5"," "," ","West","IN149","Me",162616,9.800000191,1012.140015,214.3935394,1.72,89.7099991,6.8600001,3.4300001,0.07,0.08,91.7399979,"Developed_ Open Space",0.479999989,-11534.3922654927
"671",670,728160.6828,519722.7246,"232117600300tree1","Abner E. VanNess",1834,"IN","Starke",NA,"tree1","Oak","Black Oak","B oak","Oak",20,66.38544,"251"," "," ","West","IN149","CrA",162611,9.829999924,1033.849976,225.8852692,1.04,44.4199982,35.6699982,19.9099998,0.35,0.11,3.78,"Deciduous Forest",0.479999989,-17061.8865195728
"672",671,708742.7442,518999.1385,"232137600200tree2","Abner E Van Ness",1834,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",20,1,"305"," "," ","West","IN149","Mr",162620,9.899999619,983.6699829,214.9723053,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Developed_ Open Space",0.370000005,-34223.8470541383
"673",672,727342.0559,518191.157,"232117540200tree2","Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","White Oak","W oak","Oak",20,14.685264,"304"," "," ","West","IN149","OvA",162624,9.850000381,1033.959961,226.5503845,0.48,86.5899963,8.5200005,4.9000001,0.1,0.09,86.6399994,"Deciduous Forest",0.449999988,-17551.6607527008
"674",673,707006.0843,517481.093,"232137500100tree2","Abner E Van Ness",1833,"IN","Starke",NA,"tree2","Oak","Yellow Oak","y oak","Oak",20,8.650224,"303"," "," ","West","IN149","PlA",162625,9.899999619,982.2299805,215.151535,0.73,94.3499985,3.74,1.91,0.03,0.07,55," ",0.330000013,-36528.3126783801
"675",674,725165.8749,524740.1236,"232117400600tree2","Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",20,55.723536,"303"," "," ","West","IN149","Wk",162636,9.779999733,1023.700012,221.62117,1.9400001,87.7600021,7.52,4.7199998,0.08,0.09,91.7399979,"Developed_ Open Space",0.529999971,-18677.5536068209
"676",675,713921.4724,525998.3253,"232127300640tree1","Robert Clark Jr",1833,"IN","Starke",NA,"tree1","Oak","White Oak","W oak","Oak",20,1.207008,"64"," "," ","West","IN149","PtA",162628,9.819999695,998.6199951,219.5694122,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,"Developed_ Low Intensity",0.370000005,-25906.6200411356
"677",676,729466.096,529363.8402,"233117640300tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","Black Oak","b oak","Oak",20,13.478256,"147"," "," ","West","IN149","PtA",162628,9.850000381,1018.840027,226.034256,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,"Cultivated Crops",0.370000005,-12363.5594576047
"678",677,729450.2246,529381.5326,"233117640300tree2","Jeremiah Smith",1834,"IN","Starke",NA,"tree2","Oak","Black Oak","b oak","Oak",20,10.863072,"302"," "," ","West","IN149","PtA",162628,9.850000381,1018.840027,226.1343079,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,"Developed_ Open Space",0.370000005,-12361.1393946843
"679",678,707391.2803,525431.5262,"232137500600tree1","Abner E. Van Ness",1834,"IN","Starke",NA,"tree1","Oak","Black Oak","b oak","Oak",20,18.10512,"131"," "," ","West","IN149","PlB",162626,9.850000381,986.9199829,211.5058746,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Developed_ Low Intensity",0.330000013,-31812.7742697393
"680",679,731152.7608,527709.8799,"233113140200tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W. Oak","Oak",20,6.839712,"104"," "," ","West","IN099","AahAK",2530222,9.850000381,1021.090027,223.0259552,0.34,87.1800003,7.2600002,5.5599999,0.09,0.07,91.7399979,"Deciduous Forest",0.209999993,-12677.2746753093
"681",680,739211.5991,524202.0374,"232113640600tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Bur Oak","Burr Oak","Oak",20,13.07592,"170"," "," ","West","IN099","OndA",2481950,9.989999771,1023.080017,241.8306274,0.92,57.1100006,26.4699993,16.4200001,0.27,0.16,9.1700001,"Cultivated Crops",0.779999971,-5630.56564363943
"682",681,719355.069,538713.56,"234127600240tree2","Jeremiah Smith",1833,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",20,19.11096,"60"," "," ","West","IN149","Mr",162620,9.800000191,1007.380005,211.6151428,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Developed_ Open Space",0.370000005,-15655.8207002124
"683",682,708318.3858,545616.076,"234137500640tree1","Jeremiah Smith",1835,"IN","LaPorte",NA,"tree1","Oak","Black Oak","b oak","Oak",20,4.02336,"209"," "," ","West","IN091","BtA",272649,9.770000458,1000.719971,212.4446564,0.54,88.9199982,7.3099999,3.77,0.12,0.07,91.7399979,"Developed_ Low Intensity",0.389999986,-25202.7064105395
"684",683,711319.2888,541447.4051,"234137700400tree1","Jeremiah Smith",1834,"IN","LaPorte",NA,"tree1","Oak","White Oak","w oak","Oak",20,15.0876,"207"," "," ","West","IN149","Mr",162620,9.789999962,1001.169983,206.7447052,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Cultivated Crops",0.370000005,-22546.5627883932
"685",684,710654.7702,526184.2898,"232137700640tree2","Abner E Van Ness",1833,"IN","Starke",NA,"tree2","Oak","White Oak","w oak","Oak",20,25.347168,"295"," "," ","West","IN149","PtA",162628,9.819999695,992.9000244,214.2698822,0.5,93.3799973,4.6199999,2,0.04,0.06,91.7399979,"Herbaceous",0.370000005,-28590.5693120745
"686",685,733364.1658,540544.207,"234113240400tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","White Oak","W oak","Oak",20,11.06424,"155"," "," ","West","IN099","GdnA",2451235,9.899999619,1016.320007,232.7983856,3.53,77.1800003,13.3500004,9.4700003,0.14,0.11,16.25,"Cultivated Crops",0.720000029,-1892.64526352252
"687",686,740334.4621,532254.508,"233113700500tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Red Oak","Red Oak","Oak",20,8.247888,"262"," "," ","West","IN099","OlcA",1702559,10.01000023,1019.27002,239.509552,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,"Developed_ Open Space",0.660000026,-4098.9809978803
"688",687,712494.3016,529319.5383,"233127200240tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","Black Oak","b oak","Oak",20,1.810512,"300"," "," ","West","IN149","PlB",162626,9.81000042,998.9699707,214.7180939,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Developed_ Low Intensity",0.330000013,-25503.5019730909
"689",688,706273.1551,519115.2668,"232137440200tree2","Abner E. Van Ness",1834,"IN","Starke",NA,"tree2","Oak","Black Oak","b oak","Oak",20,36.813744,"292"," "," ","West","IN149","Mr",162620,9.899999619,981.9699707,213.9606171,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Cultivated Crops",0.370000005,-36118.1731488039
"690",689,706749.6837,528762.0688,"233137440200tree2","Jeremiah Smith",1835,"IN","LaPorte",NA,"tree2","Oak","Black Oak","b oak","Oak",20,5.632704,"69.5"," "," ","West","IN149","PlB",162626,9.819999695,991,212.4699097,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Developed_ Open Space",0.330000013,-30978.8462568175
"691",690,728462.8372,545540.8871,"235117540100tree1","Robert Clark Jr",1833,"IN","St. Joseph",NA,"tree1","Oak","Yellow Oak","Y. Oak","Oak",20,12.874752,"323"," "," ","West","IN141","BsxA",612129,9.850000381,1013.109985,219.3762665,0.6,86.9800034,8.7399998,4.2800002,0.1,0.09,91.7399979,"Developed_ Open Space",0.419999987,-5059.67765127034
"692",691,734690.0479,532444.3988,"233113340500tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Black Oak","B. Oak","Oak",20,5.632704,"236"," "," ","West","IN099","RoqC2",2481965,10,1018.469971,243.5467834,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,"Deciduous Forest",0.660000026,-6814.2459212722
"693",692,727158.401,553657.0815,"235117440600tree2","William Clark",1834,"IN","St. Joseph",NA,"tree2","Oak","White Oak","w oak","Oak",20,11.06424,"288"," "," ","West","IN141","OlcA",612130,9.819999695,1010.890015,213.682663,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,"Cultivated Crops",0.660000026,-7298.96409728674
"694",693,731373.3233,532554.5099,"233113140500tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Black Oak","B. Oak","Oak",20,37.819584,"106"," "," ","West","IN099","AbhAN",1702539,9.869999886,1017.609985,219.6514435,0.3,89,6,5,0.15,0.06,91.7399979,"Cultivated Crops",0.790000021,-8749.43159352038
"695",694,732177.6177,530100.8051,"233113200340tree2","David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","Black Oak","B. Oak","Oak",20,12.874752,"287"," "," ","West","IN099","PrxB",2481963,9.869999886,1019.380005,232.3854828,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,"Developed_ Open Space",0.389999986,-10109.9629265119
"696",695,726671.7074,540821.9474,"234117440400tree1","Jeremiah Smith",1834,"IN","Starke",NA,"tree1","Oak","Red Oak","red oak","Oak",20,27.761184,"313"," "," ","West","IN149","Mr",162620,9.829999924,1013.179993,217.8068848,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,"Developed_ Open Space",0.370000005,-8227.22842585153
"697",696,704643.2259,517560.4929,"232137340100tree1","Abner E Van Ness",1833,"IN","Starke",NA,"tree1","Oak","Yellow Oak","y oak","Oak",20,39.630096,"62"," "," ","West","IN149","Nf",162622,9.899999619,981.5100098,214.6548157,1.9,88.3899994,8.0799999,3.53,0.07,0.09,91.7399979,"Hay/Pasture",0.439999998,-38351.9343104354
