"","FID","POINT_X","POINT_Y","Join","Surveyor","SurveyYear","State","County","cornerid","TreeNo","Group_","L2_tree","L1_tree","L3_tree","TDiameter","TDistance","TDegree","water","generalnotes","Line","AREASYMBOL","MUSYM","MUKEY","temp","precip","DEM","om_r","sandtotal_r","silttotal_r","claytotal_r","kwfact","awc_r","ksat_r","CLASS","NCCPI","distance"
"3851",3850,737718.8267,550901.5628,"235113500440tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Sugar Maple","Sugar","Maple",20,2.414016,"337"," "," ","East","IN141","DcrA",612324,9.829999924,1023.97998,236.3252258,1.04,10.1099997,53.3300018,36.5600014,0.37,0.17,2.8199999,"Developed_ Open Space",0.769999981,2670.22874143388
"3852",3851,773431.9358,518404.8294,"232153340300tree2","Reuben J. Dawson",1834,"IN","Kosciusko",NA,"tree2","Other","Beech","beech","Beech",20,7.242048,"45"," "," ","East","IN085","Wc",160927,10,990.2600098,253.0409698,1.24,19.3999996,60.9000015,19.7000008,0.44,0.21,8.9200001,"Developed_ Open Space",0.870000005,27296.455851703
"3853",3852,763604.5848,516980.9688,"232143340200tree1","Reuben J. Dawson",1834,"IN","Marshall",NA,"tree1","Other","Sugar Maple","Sugar","Maple",20,14.685264,"16.5"," "," ","East","IN099","OlcB",1702560,9.899999619,1004.090027,245.9589081,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,"Developed_ Open Space",0.660000026,17529.5444644444
"3854",3853,768411.4377,551577.3544,"235143600540tree1","Reuben J. Dawson",1834,"IN","St. Joseph",NA,"tree1","Other","Sugar Maple","Sugar","Maple",20,4.325112,"208"," "," ","East","IN039","BuuA",165330,9.859999657,995.4500122,261.3709106,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,"Developed_ Open Space",0.790000021,25976.8768811014
"3855",3854,766817.7482,552441.7721,"235143500600tree1","Reuben J. Dawson",1834,"IN","St. Joseph",NA,"tree1","Other","Sugar Maple","Sugar","Maple",20,2.212848,"102"," "," ","East","IN039","CvdA",165351,9.93999958,999.25,259.5836487,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Developed_ Open Space",0.560000002,24745.5605740766
"3856",3855,754088.7937,531748.4641,"233133340500tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Sugar Maple","sugar","Maple",20,4.425696,"176"," "," ","East","IN099","BuuA",1702542,10.02000046,1013.429993,252.1502228,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,"Cultivated Crops",0.790000021,8744.6019648102
"3857",3856,773021.4233,544180.5986,"235153300100tree1","David Hillis",1829,"IN","Elkhart",NA,"tree1","Other","Sugar Maple","Sugar","Maple",20,3.419856,"19"," "," ","East","IN039","BuuA",165330,9.930000305,989.2800293,263.3425903,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,"Cultivated Crops",0.790000021,29084.6871308205
"3858",3857,774723.6527,547354.161,"235153400300tree1","Reuben J. Dawson",1834,"IN","Elkhart",NA,"tree1","Other","Sugar Maple","Sugar","Maple",20,2.414016,"134.5"," "," ","East","IN039","TxuB",165476,9.819999695,984.7399902,269.8432617,0.48,88.9300003,6.6500001,4.4200001,0.08,0.09,91.7399979,"Cultivated Crops",0.460000008,31313.6151431431
"3859",3858,774717.8516,547359.4296,"235153400300tree2","Reuben J. Dawson",1834,"IN","Elkhart",NA,"tree2","Other","Sugar Maple","Sugar","Maple",20,5.431536,"308.5"," "," ","East","IN039","TxuB",165476,9.819999695,984.7399902,269.8432617,0.48,88.9300003,6.6500001,4.4200001,0.08,0.09,91.7399979,"Cultivated Crops",0.460000008,31308.437018682
"3860",3859,759304.2643,544676.7588,"235133640100tree1","Robert Clark Jr",1833,"IN","Marshall",NA,"tree1","Other","Sugar Maple","sugar","Maple",20,11.265408,"49.5"," "," ","East","IN099","WtbA",2487341,9.890000343,1011.52002,252.9973602,1.29,40.6300011,37.5699997,21.7999992,0.32,0.19,9.3100004,"Developed_ Open Space",0.889999986,15706.2377678373
"3861",3860,774021.2426,550601.3978,"235153340500tree2","Reuben J. Dawson",1834,"IN","Elkhart",NA,"tree2","Other","Sugar Maple","Sugar","Maple",20,3.922776,"79.75"," "," ","East","IN039","CvdA",165351,9.779999733,986.960022,271.1818237,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Cultivated Crops",0.560000002,31152.8133197392
"3862",3861,746784.2348,531221.7291,"233123500440tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Sugar Maple","Sugar","Maple",20,3.822192,"52"," "," ","East","IN099","LpvA",2481938,10.02999973,1018.679993,256.4546814,1.54,46.0999985,34.7799988,19.1200008,0.29,0.17,9.1700001,"Cultivated Crops",0.769999981,1651.04528358419
"3863",3862,768922.9145,540904.4874,"234143640500tree2","Reuben J. Dawson",1835,"IN","Marshall",NA,"tree2","Other","Sugar Maple","sugar","Maple",20,6.839712,"86.5"," "," ","East","IN085","CrA",160860,9.930000305,995.5200195,253.8651428,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,"Cultivated Crops",0.560000002,24735.871742357
"3864",3863,746253.629,532040.7412,"233123440500tree1","David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Sugar Maple","Sugar","Maple",20,4.626864,"351"," "," ","East","IN099","UgsA",2485522,10.02000046,1018.849976,255.3902893,0.41,23.8700008,12.9200001,8.21,0.12,0.07,9.6199999,"Developed_ Open Space",0.340000004,1462.32331798446
"3865",3864,765969.9411,550851.3504,"235143440500tree2","Reuben J. Dawson",1834,"IN","St. Joseph",NA,"tree2","Other","Maple","Maple","Maple",20,8.650224,"158.5"," "," ","East","IN039","BuuA",165330,9.890000343,1000.679993,257.6863098,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,"Developed_ Open Space",0.790000021,23429.9356604348
