FID,POINT_X,POINT_Y,Join,Surveyor,SurveyYear,State,County,cornerid,TreeNo,Group_,L2_tree,L1_tree,L3_tree,TDiameter,TDistance,TDegree,water,generalnotes,Line,AREASYMBOL,MUSYM,MUKEY,temp,precip,DEM,om_r,sandtotal_r,silttotal_r,claytotal_r,kwfact,awc_r,ksat_r,CLASS,NCCPI
15,742602.95530,527412.36400,233123240200tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,36,60.3504,18, , ,West,IN099,RopB,1702566,10.05000019,1019.929993,245.2121582,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Cultivated Crops,0.75
16,735658.97100,536444.68160,234113400140tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,36,26.554176,159, , ,West,IN099,RoqC2,2481965,10.02999973,1017.929993,259.5380859,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,Developed_ Open Space,0.660000026
17,703607.85370,552324.47400,235137200440tree2,William Clark,1834,IN,LaPorte,NA,tree2,Oak,White Oak,w oak,Oak,36,57.534048,4, , ,West,IN091,Sb,272690,9.840000153,1005.840027,224.32901,1.34,49.9599991,26.1200008,23.9200001,0.14,0.16,16.6000004,Cultivated Crops,0.600000024
18,733894.16310,532460.54490,233113300500tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,36,16.495776,175, , ,West,IN099,RoqC2,2481965,9.970000267,1018.299988,233.0557404,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,Deciduous Forest,0.660000026
19,723870.13480,552185.60510,235117240500tree2,William Clark,1834,IN,St. Joseph,NA,tree2,Oak,White Oak,W. Oak,Oak,36,37.819584,330, , ,West,IN091,Ph,272682,9.81000042,1008.73999,210.3368225,1.87,53.6399994,30.8400002,15.5200005,0.2,0.16,28.8700008,Developed_ Open Space,0.639999986
20,742490.79750,524147.48840,232123240600tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,36,23.335488,312, , ,West,IN099,RenA,1702563,9.989999771,1020.820007,239.2155762,6.9000001,34.1800003,41.2200012,24.6000004,0.25,0.19,9.1700001,Deciduous Forest,0.790000021
21,735724.62810,538891.49300,234113400300tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,36,15.0876,204, , ,West,IN099,RopB,1702566,10.02999973,1017.679993,252.7758789,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Cultivated Crops,0.75
22,734239.37010,542958.90690,234113300540tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W oak,Oak,36,25.950672,289, , ,West,IN099,BsxA,2481932,9.899999619,1016.530029,229.1076355,0.6,86.9800034,8.7399998,4.2800002,0.1,0.09,91.7399979,Cultivated Crops,0.419999987
23,745525.27700,520797.11000,232123440400tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,36,96.56064,270, , ,West,IN099,RopB,1702566,9.930000305,1018.940002,244.9983368,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Developed_ Open Space,0.75
24,721594.74820,534558.27170,233117140600tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,Red Oak,red oak,Oak,36,19.513296,158, , ,West,IN149,Mr,162620,9.800000191,1011.76001,216.7859497,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Cultivated Crops,0.370000005
25,722723.84930,523208.57070,232117240500tree1,Abner E. VanNess,1834,IN,Starke,NA,tree1,Oak,White Oak,W oak,Oak,36,1.207008,13, , ,West,IN149,WwB,162637,9.800000191,1022.400024,226.7255707,1.0599999,50.6300011,32.4700012,16.8999996,0.31,0.14,9.1700001,Developed_ Low Intensity,0.629999995
26,729469.96790,550325.56070,235117600400tree2,William Clark,1834,IN,St. Joseph,NA,tree2,Oak,Yellow Oak,y oak,Oak,36,10.0584,145, , ,West,IN141,TmpA,615112,9.819999695,1013.159973,219.1194916,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,Developed_ Open Space,0.550000012
27,739873.14250,518519.69370,232113700240tree2,Sylvester Sibley,1833,IN,Marshall,NA,tree2,Oak,White Oak,W. Oak,Oak,36,24.14016,236, , ,West,IN099,RopB,1702566,9.869999886,1026.550049,241.6536407,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Cultivated Crops,0.75
28,722512.01650,536937.75340,234117200140tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,White Oak,w oak,Oak,36,11.868912,102.5, , ,West,IN149,BeA,162607,9.800000191,1011.869995,215.7960815,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,Developed_ Open Space,0.319999993
29,732946.43310,552621.54670,235113200540tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,36,9.253728,110, , ,West,IN141,OlcA,612130,9.829999924,1015.76001,223.7782898,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,Cultivated Crops,0.660000026
30,737372.05940,538848.38100,234113500300tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,36,19.312128,110, , ,West,IN099,RopA,1702565,10.06000042,1017.940002,260.9142151,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Cultivated Crops,0.75999999
31,722962.55600,529653.15020,233117240300tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,White Oak,w oak,Oak,36,47.877984,250.5, , ,West,IN149,Cp,162610,9.800000191,1013.73999,215.8126526,1.04,67.3499985,22.4400005,10.21,0.2,0.14,41.5699997,Developed_ Low Intensity,0.660000026
32,727782.07320,527838.25030,233117540200tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Other,Swamp Ash-I,swamp ash,Ash,36,7.242048,159, , ,West,IN149,An,162605,9.819999695,1020.179993,220.539917,0.72,82.5,11,6.5,0.14,0.08,72.6900024,Woody Wetlands,0.5
33,736696.96280,523485.03550,232113500540tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Aspen,Poplar,Poplar/tulip poplar,36,2.414016,204, , ,West,IN099,RopB,1702566,9.920000076,1024.619995,248.5846558,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Developed_ Open Space,0.75
34,738254.09920,521027.95770,232113600400tree1,David Hillis,1834,IN,Marshall,NA,tree1,Other,Aspen,Poplar,Poplar/tulip poplar,36,4.828032,75, , ,West,IN099,RopB,1702566,9.890000343,1027.98999,256.4767456,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Cultivated Crops,0.75
35,741472.37570,541947.51970,234123140500tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,w oak,Oak,34,10.863072,121, , ,West,IN099,OlcA,1702559,10.02999973,1019.820007,249.8094788,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,Developed_ Open Space,0.660000026
36,735124.07440,543711.11120,234113340600tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,34,26.755344,142, , ,West,IN099,AbhAN,1702539,9.920000076,1017.320007,228.5293274,0.3,89,6,5,0.15,0.06,91.7399979,Cultivated Crops,0.790000021
37,717345.07940,529932.33580,233127500300tree2,Jeremiah Smith,1834,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,34,19.714464,322.25, , ,West,IN149,PlB,162626,9.81000042,1005.599976,217.1826935,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,Developed_ Medium Intensity,0.330000013
38,744838.16780,521626.15200,232123400440tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Bur Oak,Burr Oak,Oak,34,6.839712,305, , ,West,IN099,BuuA,1702542,9.960000038,1019.830017,241.468811,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.18,9.1700001,Cultivated Crops,0.790000021
39,729333.97480,526171.50250,233117640100tree1,David Hillis,1834,IN,Starke,NA,tree1,Oak,White Oak,w oak,Oak,34,18.306288,28, , ,West,IN149,WwB,162637,9.819999695,1023.359985,229.5170288,1.0599999,50.6300011,32.4700012,16.8999996,0.31,0.14,9.1700001,Developed_ Open Space,0.629999995
40,733698.39130,550201.21730,235113240400tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,34,13.07592,18, , ,West,IN099,BshA,1702515,9.840000153,1017.48999,223.924469,0.46,66.5899963,20.2700005,13.1400003,0.17,0.15,28.2299995,Developed_ Open Space,0.660000026
41,727637.12910,544747.66230,234117500640tree2,Jeremiah Smith,1834,IN,Starke,NA,tree2,Oak,White Oak,w oak,Oak,33,16.898112,144, , ,West,IN149,BeA,162607,9.840000153,1012.73999,215.3516693,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,Deciduous Forest,0.319999993
42,734151.36270,540547.55020,234113300400tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,33,8.650224,304, , ,West,IN099,CnbC,1702544,9.930000305,1016.809998,234.5006256,0.39,91.75,5.4000001,2.8499999,0.02,0.07,55,Cultivated Crops,0.449999988
43,734507.25010,550969.14880,235113300440tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,33,8.04672,331, , ,West,IN141,OlcA,612130,9.840000153,1018.450012,224.2260742,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,Developed_ Open Space,0.660000026
44,741719.53020,525780.71560,233123200100tree2,Robert Clark,1833,IN,Marshall,NA,tree2,Oak,White Oak,W. Oak,Oak,32,6.236208,284, , ,West,IN099,RoqB,2481964,10.02999973,1020.599976,241.7254334,0.68,52.8400002,29.7199993,17.4300003,0.27,0.15,32.1699982,Cultivated Crops,0.75999999
45,744994.29660,526462.00320,233123400140tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,Red Oak,Red Oak,Oak,32,8.650224,88, , ,West,IN099,RopB,1702566,10.01000023,1019.309998,244.1096344,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Cultivated Crops,0.75
46,742191.40470,539517.66100,234123200340tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,w oak,Oak,32,16.696944,50, , ,West,IN099,WkxB,2481976,10.02999973,1019.25,250.9032288,0.94,51.2799988,30.0699997,18.6499996,0.28,0.18,9.1700001,Developed_ Open Space,0.790000021
47,738938.59940,538813.82250,234113600300tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W oak,Oak,32,7.845552,305, , ,West,IN099,CvdA,1702545,10.03999996,1018.570007,253.1793213,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Cultivated Crops,0.560000002
48,734641.58660,530834.94020,233113340400tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,32,2.01168,30, , ,West,IN099,RoqC2,2481965,9.970000267,1019.26001,242.047348,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,Developed_ Open Space,0.660000026
49,738925.88070,538001.03760,234113600240tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W oak,Oak,32,3.419856,110, , ,West,IN099,SdzA,2453035,10.03999996,1018.630005,250.674118,0.81,57.4000015,28.6499996,13.9499998,0.29,0.13,37.0499992,Deciduous Forest,0.560000002
50,729389.57330,548727.34270,235117600300tree1,William Clark,1834,IN,St. Joseph,NA,tree1,Oak,White Oak,Double W. Oak,Oak,32,1.408176,184, , ,West,IN141,CnbB,625115,9.819999695,1012.789978,220.718277,0.39,91.75,5.4000001,2.8499999,0.02,0.07,55,Developed_ Low Intensity,0.449999988
51,732450.91160,537344.79400,234113200200tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W oak,Oak,31,4.224528,318, , ,West,IN099,OndA,2481950,9.920000076,1016.650024,238.9550476,0.92,57.1100006,26.4699993,16.4200001,0.27,0.16,9.1700001,Developed_ Low Intensity,0.779999971
52,734421.18300,546963.79940,235113300200tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W oak,Oak,30,2.816352,113, , ,West,IN099,CvdA,1702545,9.869999886,1018.25,225.6169586,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Developed_ Open Space,0.560000002
53,705969.70000,548116.28140,235137340200tree1,William Clark,1834,IN,LaPorte,NA,tree1,Oak,White Oak,w oak,Oak,30,6.839712,145, , ,West,IN091,HaA,272663,9.800000191,1001.01001,217.6460419,1.16,55.75,26.9200001,17.3299999,0.24,0.15,26.5100002,Herbaceous,0.569999993
54,713413.03450,531686.20980,233127240400tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,Red Oak,r oak,Oak,30,24.14016,105.25, , ,West,IN149,Co,162609,9.81000042,1000.210022,208.1078033,1.4299999,65.5,25.2600002,9.2399998,0.21,0.14,51.0900002,Developed_ Open Space,0.610000014
55,709965.65480,551195.70090,235137600400tree1,William Clark,1834,IN,LaPorte,NA,tree1,Oak,Yellow Oak,y oak,Oak,30,60.3504,314, , ,West,IN091,HaA,272663,9.81000042,1002.869995,218.742691,1.16,55.75,26.9200001,17.3299999,0.24,0.15,26.5100002,Cultivated Crops,0.569999993
56,704317.44130,548238.92800,235137240200tree1,William Clark,1834,IN,LaPorte,NA,tree1,Oak,Red Oak,r oak,Oak,30,50.292,310, , ,West,IN091,TcA,272694,9.789999962,1000.340027,218.0415802,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,Cultivated Crops,0.550000012
57,724318.74780,524474.47900,232117340600tree1,Abner E. VanNess,1834,IN,Starke,NA,tree1,Oak,White Oak,W oak,Oak,30,284.250384,197, , ,West,IN149,Ad,162603,9.789999962,1021.179993,220.9167328,0.3,89,6,5,0.15,0.06,91.7399979,Cultivated Crops,0.790000021
58,727852.90730,551993.52130,235117500500tree1,William Clark,1834,IN,St. Joseph,NA,tree1,Oak,White Oak,W Oak,Oak,30,48.28032,239, , ,West,IN141,OlcB,612665,9.829999924,1011.359985,212.3726501,0.92,71.5299988,16.0799999,12.3900003,0.15,0.14,35.2200012,Cultivated Crops,0.660000026
59,726537.16570,521421.75930,232117500400tree1,Abner E. VanNess,1834,IN,Starke,NA,tree1,Oak,White Oak,W oak,Oak,30,152.083008,263.5, , ,West,IN149,Mr,162620,9.789999962,1031.5,221.4819794,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Cultivated Crops,0.370000005
60,705242.31970,555239.66270,235137300640tree1,William Clark,1834,IN,LaPorte,NA,tree1,Oak,White Oak,w oak,Oak,30,15.288768,180, , ,West,IN091,TcB,272695,9.850000381,1008.289978,231.6450806,0.92,59.3100014,28.0699997,12.6199999,0.25,0.14,9.1700001,Cultivated Crops,0.550000012
61,706738.32760,545602.49270,234137400640tree1,Jeremiah Smith,1835,IN,LaPorte,NA,tree1,Oak,White Oak,w oak,Oak,30,85.094064,157.33, , ,West,IN091,ChB,272651,9.789999962,1000.469971,212.9834137,0.43,91.4599991,4.0799999,4.46,0.1,0.09,91.7399979,Cultivated Crops,0.479999989
62,703605.43250,552360.74550,235137200440tree1,William Clark,1834,IN,LaPorte,NA,tree1,Oak,White Oak,w oak,Oak,30,93.54312,0, , ,West,IN091,Sb,272690,9.840000153,1005.840027,224.2288971,1.34,49.9599991,26.1200008,23.9200001,0.14,0.16,16.6000004,Cultivated Crops,0.600000024
63,728376.77390,522964.61420,232117600500tree1,Abner E. VanNess,1834,IN,Starke,NA,tree1,Oak,White Oak,W oak,Oak,30,1.00584,180, , ,West,IN149,CrA,162611,9.789999962,1030.670044,223.8970184,1.04,44.4199982,35.6699982,19.9099998,0.35,0.11,3.78,Developed_ Open Space,0.479999989
64,719900.53930,552385.29480,235127600500tree2,William Clark,1834,IN,LaPorte,NA,tree2,Oak,Yellow Oak,y oak,Oak,30,99.175824,348, , ,West,IN091,Br,272648,9.789999962,1005.669983,210.2438202,1.27,72.2099991,17.5599995,10.2299995,0.12,0.12,65.6999969,Developed_ Open Space,0.519999981
65,728453.34890,524617.39590,232117600600tree2,Abner E. VanNess,1834,IN,Starke,NA,tree2,Oak,Black Oak,B oak,Oak,30,38.020752,15, , ,West,IN149,Mr,162620,9.819999695,1025.160034,226.2089844,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Deciduous Forest,0.370000005
66,714830.69790,526821.88500,233127340100tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,White Oak,w oak,Oak,30,28.16352,26, , ,West,IN149,Mr,162620,9.819999695,1000.73999,218.4748535,0.5,88.4000015,7.4000001,4.1999998,0.09,0.07,91.7399979,Herbaceous,0.370000005
67,724912.14990,518382.46960,232117400200tree2,Abner E. VanNess,1834,IN,Starke,NA,tree2,Oak,White Oak,W oak,Oak,30,90.324432,340.5, , ,West,IN149,BeA,162607,9.829999924,1031.219971,220.3860168,0.4,88.1999969,7.8000002,4,0.12,0.07,91.7399979,Deciduous Forest,0.319999993
68,741363.76040,538740.60090,234123140300tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,w oak,Oak,30,6.638544,20, , ,West,IN099,MvhAN,1702557,10.03999996,1019.01001,249.839325,0,0,0,0,0,0,0,Cultivated Crops,0.889999986
69,733483.46440,521182.56640,232113300400tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W. Oak,Oak,30,4.626864,340, , ,West,IN099,OlcC2,2481945,9.899999619,1033.77002,227.9705353,0.86,71.6900024,15.2799997,13.0299997,0.15,0.14,35.2200012,Developed_ Low Intensity,0.540000021
70,739757.92410,538791.12850,234113640300tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W oak,Oak,30,5.230368,23, , ,West,IN099,RoqB,2481964,10.03999996,1018.73999,253.2836151,0.68,52.8400002,29.7199993,17.4300003,0.27,0.15,32.1699982,Developed_ Open Space,0.75999999
71,742217.09390,516095.69790,232123240100tree1,Sylvester Sibley,1833,IN,Marshall,NA,tree1,Oak,White Oak,W. Oak,Oak,30,48.481488,342, , ,West,IN099,WftA,2481973,9.890000343,1024.560059,240.7604675,2.24,27.2600002,52.7799988,19.9599991,0.37,0.2,7.1900001,Cultivated Crops,0.920000017
72,732402.92140,536612.73290,234113200140tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,30,71.41464,342, , ,West,IN099,RopB,1702566,9.909999847,1016.580017,237.1618195,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Cultivated Crops,0.75
73,732469.06400,536627.31860,234113200140tree2,David Hillis,1834,IN,Marshall,NA,tree2,Oak,White Oak,W oak,Oak,30,95.5548,27, , ,West,IN099,RoqC2,2481965,9.930000305,1016.780029,237.0581818,0.63,52.5699997,29.4500008,17.9799995,0.26,0.15,31.2999992,Cultivated Crops,0.660000026
74,721914.78260,523244.32300,232117200500tree1,Abner E. VanNess,1834,IN,Starke,NA,tree1,Oak,Black Oak,B oak,Oak,30,1.207008,212, , ,West,IN149,PlB,162626,9.789999962,1018.530029,222.825119,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,Developed_ Low Intensity,0.330000013
75,713583.34200,554910.73470,235127200640tree1,William Clark,1834,IN,LaPorte,NA,tree1,Oak,White Oak,w oak,Oak,30,11.06424,82, , ,West,IN091,Mx,272675,9.829999924,1006.309998,218.3544464,0.65,90.7799988,5.5300002,3.6900001,0.17,0.09,91.7399979,Deciduous Forest,0.49000001
76,711890.53660,533263.13990,233127140500tree1,Jeremiah Smith,1834,IN,Starke,NA,tree1,Oak,Red Oak,r oak,Oak,30,135.184896,140.33, , ,West,IN149,Co,162609,9.81000042,999.8300171,206.5235291,1.4299999,65.5,25.2600002,9.2399998,0.21,0.14,51.0900002,Cultivated Crops,0.610000014
77,723467.78230,521553.80190,232117300400tree1,Abner E. VanNess,1834,IN,Starke,NA,tree1,Oak,Black Oak,B oak,Oak,30,13.880592,169, , ,West,IN149,PlB,162626,9.789999962,1025.48999,222.5132294,0.53,95.1500015,3.1400001,1.71,0.03,0.07,55,Deciduous Forest,0.330000013
78,728436.75850,523745.79790,232117600540tree1,Abner E. VanNess,1834,IN,Starke,NA,tree1,Oak,White Oak,W oak,Oak,30,38.825424,133, , ,West,IN149,OvA,162624,9.81000042,1029.359985,224.9887085,0.48,86.5899963,8.5200005,4.9000001,0.1,0.09,86.6399994,Developed_ Open Space,0.449999988
79,730313.27650,551923.70500,235117640500tree2,William Clark,1834,IN,St. Joseph,NA,tree2,Oak,Yellow Oak,y oak,Oak,30,15.892272,317.5, , ,West,IN141,OlcC2,612664,9.829999924,1013.070007,214.732254,0.86,71.6900024,15.2799997,13.0299997,0.15,0.14,35.2200012,Hay/Pasture,0.540000021
80,727571.07680,523002.24930,232117540500tree1,Abner E. VanNess,1834,IN,Starke,NA,tree1,Oak,White Oak,W oak,Oak,30,7.04088,155, , ,West,IN149,MdA,162615,9.789999962,1030.670044,225.0645294,0.56,72.5800018,19.4300003,7.9899998,0.18,0.11,63.6699982,Developed_ Open Space,0.49000001
81,744932.92670,525667.76040,233123400100tree1,Robert Clark,1833,IN,Marshall,NA,tree1,Oak,Black Oak,B. Oak,Oak,30,26.755344,283.25, , ,West,IN099,OlcC2,2481945,10,1019.359985,237.1368866,0.86,71.6900024,15.2799997,13.0299997,0.15,0.14,35.2200012,Cultivated Crops,0.540000021
82,730060.74950,524493.25610,232117700600tree1,David Hillis,1829,IN,Starke,NA,tree1,Oak,White Oak,W oak,Oak,30,11.06424,192.5, , ,West,IN099,CvdA,1702545,9.850000381,1025.619995,234.5782928,0.86,42.0400009,36.7200012,21.2399998,0.34,0.15,4.54,Cultivated Crops,0.560000002
83,737480.27350,542879.94090,234113500540tree1,David Hillis,1834,IN,Marshall,NA,tree1,Oak,White Oak,W oak,Oak,30,3.621024,120, , ,West,IN099,RopB,1702566,9.989999771,1018.400024,241.1884918,0.91,53.8699989,28.1800003,17.9500008,0.25,0.15,22.1000004,Developed_ Open Space,0.75
84,726752.89410,523838.88360,232117500540tree1,Abner E. VanNess,1834,IN,Starke,NA,tree1,Oak,White Oak,W oak,Oak,30,44.458128,247.5, , ,West,IN149,MdA,162615,9.789999962,1028.329956,222.1972809,0.56,72.5800018,19.4300003,7.9899998,0.18,0.11,63.6699982,Cultivated Crops,0.49000001
