FID,density,POINT_X,POINT_Y
150,2.99462063,777511.34000,523157.28000
151,0,772637.70000,523204.10000
152,40.04276513,771059.94000,523277.50000
153,0,775847.83000,518363.15000
154,10.88280463,771034.33850,520860.84570
155,190.9528216,772588.94050,515998.37600
156,25.59075963,774201.04000,515168.41000
157,64.23389565,774206.99680,515970.69940
158,0.502694236,778301.03110,521558.81690
159,144.2153452,775881.39540,522376.72950
160,8.519682472,771850.71320,521648.06340
161,42.11061858,779112.40070,522368.86630
162,29.72662924,779098.65000,519943.03000
163,18.00814881,771813.22990,518432.59800
164,42.98195002,779061.68130,515912.67440
165,83.91684053,774212.95000,516772.99000
166,93.9374874,770169.67290,520071.33290
167,27.77869452,779115.90000,523175.51000
168,0.423478193,779103.77520,520752.62910
169,7.970368072,771062.63950,524063.53260
170,5.255355785,772645.88000,520022.76000
171,42.40789918,771044.35000,521667.44000
172,75.61088671,772651.47540,520825.72030
173,160.3474607,771012.72620,519249.69530
174,5.509745083,775853.88500,519167.10670
175,12.97094041,772625.33000,518420.06000
176,24.25930291,771052.14620,522472.46870
177,0,770193.38490,521675.99870
178,0.218523487,778019.83950,516729.72830
179,32.88286344,772647.38670,522416.39430
180,9.589987861,778289.07230,519946.31930
181,0.685526722,774285.38480,523995.12930
182,0.52028181,771796.48570,516816.32380
183,14.27592418,775838.01540,517559.35670
184,31.65582833,774239.76850,519186.47840
185,13.13647223,772635.60430,519221.40530
186,81.01362819,778296.62770,515120.01670
187,0.200563301,753089.06000,525349.67000
188,42.08935136,753898.16760,525311.09760
189,185.3105622,766161.64510,525736.55050
190,389.5431404,765366.57520,526557.23630
191,50.33959848,765414.12190,529779.32550
192,161.9584767,764603.87000,529793.99000
193,26.01762371,766185.91480,527348.50450
194,101.8816609,766175.56000,526545.77000
195,187.6292404,765349.02390,524947.96460
196,127.0328216,765387.62860,528168.21280
197,18.8337276,767784.53000,526509.87000
198,51.96188985,764578.99000,528185.19000
199,5.558303337,766951.13560,524908.94090
200,3.397004039,769416.71000,528088.20000
201,0,767839.65000,529734.62000
202,53.29895086,766147.73000,524927.33000
203,50.96630795,766254.07560,532169.66650
204,101.0867446,767769.53250,525700.21010
205,75.17314797,764591.42580,528989.58890
206,44.90831753,769508.20420,532124.34690
207,0,767050.74330,531346.53570
208,0,767882.60710,532145.26470
209,0.117600252,767827.05210,528929.10690
210,1.3787349,768712.56360,532948.22730
211,51.1969501,768570.87580,524881.21500
212,11.7421684,766980.04200,526527.81970
213,232.6226909,769528.49000,532940.02000
214,1.159559183,768593.30500,526498.07290
215,41.01581328,769487.92000,531308.67000
