"","POINT_X","density","Line"
"374",713540.25,23.2549534232,"West"
"375",713563.4393,0,"West"
"376",713572.3208,0,"West"
"377",713591.4424,0,"West"
"378",713598.21,2.51788719818,"West"
"379",713634.0732,0,"West"
"380",713669.94,8.3046394597,"West"
"381",713705.8717,0.837339651687,"West"
"382",713713.7522,167.464858598,"West"
"383",713741.8,58.7566757594,"West"
"384",713774.6858,0,"West"
"385",713807.57,0,"West"
"386",713844.9672,0,"West"
"387",713882.37,33.955168645,"West"
"388",713920.362,309.917559738,"West"
"389",714007.57,0.417003538957,"West"
"390",714041.2775,0.93619460284,"West"
"391",714074.99,23.079331693,"West"
"392",714103.7039,29.0558913299,"West"
"393",714132.42,85.7243327303,"West"
"394",714166.168,7.90773107209,"West"
"395",714191.6167,15.4836933021,"West"
"396",714199.92,0,"West"
"397",714236.9717,0,"West"
"398",714258.4946,8.82001164421,"West"
"399",714274.03,0,"West"
"400",714308.6096,0,"West"
"401",714326.6273,0,"West"
"402",714339.8301,6.47109322838,"West"
"403",714343.19,0,"West"
"404",714373.6312,0,"West"
"405",714404.07,0,"West"
"406",714407.4422,3.1697517815,"West"
"407",714458.8,0.030164762028,"West"
"408",714476.9826,0,"West"
"409",714488.9603,0,"West"
"410",714519.12,230.79310846,"West"
"411",714546.0283,43.1813710319,"West"
"412",714599.19,19.3458456873,"West"
"413",714617.5948,0.391220900984,"West"
"414",714628.9118,33.1594841684,"West"
"415",714658.63,0.0807376498807,"West"
"416",714687.5561,49.9585787567,"West"
"417",714690.0269,0,"West"
"418",714792.908,3.53306791924,"West"
"419",714849.33,0,"West"
"420",714882.2506,0,"West"
"421",714885.4501,0,"West"
"422",714921.57,35.6716627471,"West"
"423",714943.5089,60.8991560525,"West"
"424",714957.4126,30.3147228126,"West"
"425",714993.25,18.7563394004,"West"
"426",715013.3241,61.72773396,"West"
"427",715026.5755,147.790948207,"West"
"428",715059.9,8.24695109312,"West"
"429",715099.6549,30.1770870342,"West"
"430",715139.41,2.38677896582,"West"
"431",715144.3,0.384208039922,"West"
"432",715154.5274,0,"West"
"433",715174.2051,0,"West"
"434",715180.4866,283.695287116,"West"
"435",715201.6334,0,"West"
"436",715216.68,25.4517303538,"West"
"437",715250.3516,53.6098667884,"West"
"438",715284.03,0.875511011169,"West"
"439",715317.1392,3.956562027,"West"
"440",715323.1158,0,"West"
"441",715350.25,21.8212228006,"West"
"442",715388.9374,1.78945081963,"West"
"443",715401.2969,0.0957069102714,"West"
"444",715427.62,2.63949530492,"West"
"445",715460.1837,6.71027234064,"West"
"446",715492.74,18.5207558504,"West"
"447",715535.4965,0,"West"
"448",715626.99,81.9956026487,"West"
"449",715655.4948,0,"West"
"450",715658.2501,0,"West"
"451",715689.51,0.917747350733,"West"
"452",715722.0556,45.2798612097,"West"
"453",715730.0241,0.132056403514,"West"
