"","X","FID","density","basal","POINT_X","POINT_Y","Line","water","notree","nodata","Type","distance"
"99",290,144,32.2763567771,1.60275779494,753657.2395,515635.0824,"East",NA," ",NA,"Savanna",7848.90697536424
"100",292,145,262.54619685,21.8175959346,754602.642,519614.373,"East",NA," ",NA,"Forest",8652.93459773217
"101",294,146,542.553312739,67.0794604152,756169.7409,518762.7924,"East",NA," ",NA,"Forest",10104.3961591086
"102",296,147,209.514698558,231.009958474,757926.0635,524339.6154,"East",NA," ",NA,"Forest",11405.8860037385
"103",298,148,69.458219126,10.1361597454,754554.1551,518013.2193,"East",NA," ",NA,"Forest",8464.839493646
"104",300,149,87.1466306535,8.83156990606,750439.7624,515761.1412,"East",NA," ",NA,"Forest",4735.22402502752
"105",302,150,404.991650568,251.179853138,757825.3458,521127.0204,"East",NA," ",NA,"Forest",11454.9645216191
"106",304,151,154.711411627,14.1108172871,756962.6993,518741.0408,"East",NA," ",NA,"Forest",10894.2328454523
"107",306,152,0,0,752845.4657,515666.454,"East",NA," ",NA,"Prairie",7054.55669816702
"108",308,153,0,0,756130.6022,517163.283,"East",NA," ",NA,"Prairie",10055.6200251721
"109",310,154,136.819483761,50.1930779325,759331.3167,516258.1105,"East",NA," ",NA,"Forest",13322.2523060125
"110",312,155,49.8583610115,4.54744879561,759502.7604,523529.6492,"East",NA," ",NA,"Forest",12934.3580905456
"111",314,156,0,0,754577.6415,518814.2226,"East",NA," ",NA,"Prairie",8521.16132930023
"112",316,157,115.538419458,4.97625540731,759485.3966,522723.8647,"East",NA," ",NA,"Forest",12925.4535638182
"113",318,158,394.068500867,25.5587144533,751478.905,522154.0814,"East",NA," ",NA,"Forest",5031.31866808842
"114",320,159,396.047407279,20.0680183345,757001.1065,520343.3344,"East",NA," ",NA,"Forest",10830.7119057675
"115",322,160,215.619946285,3.71471214046,754499.8409,516407.9634,"East",NA," ",NA,"Forest",8512.74768115467
"116",324,161,126.546591879,30.0091449339,754627.6424,520414.5235,"East",NA," ",NA,"Forest",8534.14890160526
"117",326,162,323.227216498,34.0665827939,752303.6068,523765.8538,"East",NA," ",NA,"Forest",5754.51234268765
"118",328,163,827.61789832,83.8720357828,756211.5886,520366.1098,"East",NA," ",NA,"Forest",10065.505696507
"119",330,164,133.665672361,63.3947145474,757734.0537,517110.2417,"East",NA," ",NA,"Forest",11659.5520491403
"120",332,165,863.697590689,114.224569538,757744.8557,517914.7654,"East",NA," ",NA,"Forest",11654.9048766682
"121",334,166,185.850817906,37.6687997718,756232.1036,521168.3228,"East",NA," ",NA,"Forest",9885.27581346128
"122",336,167,53.9812974418,18.4904435501,757716.53,516302.4523,"East",NA," ",NA,"Forest",11713.2948740637
"123",338,168,638.635028581,75.0754657318,751282.0778,516533.9664,"East",NA," ",NA,"Forest",5327.78342223655
"124",340,169,331.122831494,177.849360131,750587.0423,522186.4278,"East",NA," ",NA,"Forest",4157.50826749988
"125",342,170,257.766928651,29.3877968876,752886.4294,516469.9675,"East",NA," ",NA,"Forest",6911.91222598365
"126",344,171,5.26590014977,1.24875082335,757860.0672,521933.4817,"East",NA," ",NA,"Savanna",11366.8466707964
"127",346,172,52.9467623157,7.7266138923,755330.6354,517187.7496,"East",NA," ",NA,"Forest",9255.58294331958
"128",348,173,1782.54921397,201.305220128,753907.0762,523685.0196,"East",NA," ",NA,"Forest",7348.07801845372
"129",350,174,784.147145326,415.034404035,754691.3752,522811.7985,"East",NA," ",NA,"Forest",8132.70023712688
"130",352,175,296.783329473,173.240447288,754674.2736,522014.9069,"East",NA," ",NA,"Forest",8198.56578675079
"131",354,176,1456.9612913,73.8253183055,750623.3072,523803.4242,"East",NA," ",NA,"Forest",4088.10763047051
"132",356,177,0.600037943284,0.190939452144,756317.2446,523571.4128,"East",NA," ",NA,"Savanna",9750.97924231954
"133",358,178,42.693763575,23.9696402402,759350.563,517065.1612,"East",NA," ",NA,"Savanna",13276.2159054386
"134",360,179,93.4818386838,18.6629710474,757773.1411,519519.9241,"East",NA," ",NA,"Forest",11773.8725496167
"135",362,180,0.166384668182,0.0394563105028,757105.9599,523565.7803,"East",NA," ",NA,"Prairie",10539.1642386075
"136",364,181,18.1577784068,8.51063096334,758620.809,520307.1004,"East",NA," ",NA,"Savanna",12406.7485767303
"137",366,182,297.648076784,12.8197430649,758505.5383,515472.8614,"East",NA," ",NA,"Forest",12618.7057370268
