FID,density,POINT_X,POINT_Y
65,0,707767.05130,534340.02250
66,0,707799.30000,535157.83000
67,0,708474.54280,531900.58710
68,0,708526.61800,533494.07000
69,0,709341.04000,533464.84000
70,0,702648.82000,527326.84000
71,0,702718.38000,528909.24000
72,0,702786.04000,532195.11000
73,0,702864.88000,533786.94000
74,0,702949.08000,535393.22000
75,0,704401.89000,532112.09000
76,0,704457.22000,533712.95000
77,0,706086.71000,533617.59000
78,0,706175.22000,535230.89000
79,0,707612.33000,530319.91000
80,0,710093.83920,531825.37490
81,0,710841.81000,530206.43000
82,0,705964.16040,529594.31710
83,0,707637.02460,531127.56770
84,0,708424.88820,530288.29060
85,0,710151.32060,533434.76380
86,0,722639.20170,540171.71710
87,0,722704.12640,541779.71980
88,0,725076.11620,540870.80240
89,0,722733.68000,542587.75000
90,0,724211.51000,539299.82000
91,0,712004.68770,538204.59610
92,0,712155.94920,541423.80480
93,0,712309.06640,544620.73000
94,0,712806.60030,537360.32790
95,0,712871.38780,538978.94700
96,0,713014.42570,542176.95170
97,0,713143.44870,545378.13200
98,0,713646.59590,538133.20730
99,0,713792.18770,541344.68390
100,0,713851.14970,542934.99260
101,0,714431.43800,537293.64080
102,0,714559.15260,540508.72710
103,0,715260.12500,538063.09700
104,0,715463.62670,542874.37920
105,0,716165.32690,540442.94200
106,0,716236.01190,542034.83650
107,0,716303.06630,543644.60520
108,0,716369.38200,545227.86620
109,0,717136.58340,544405.04750
110,0,717714.05200,538778.05790
111,0,717843.59810,541982.22240
112,0,717973.48630,545154.93220
113,0,718488.49190,537930.13510
114,0,718691.02870,542763.33390
115,0,719484.54460,541918.29330
116,0,720376.78830,544278.91640
117,0,721219.32060,545030.32440
118,0,712233.40000,543003.86890
119,0,713075.38310,543767.69230
120,0,713115.43000,544568.19000
121,0,713918.40890,544538.79620
122,0,714751.90230,545301.97740
123,0,712985.19000,541387.08000
124,0,714721.42000,544510.32000
125,0,715529.46650,544476.96360
126,0,716203.40000,541224.07000
127,0,716268.62000,542845.60000
128,0,716337.51000,544443.61000
129,0,717746.92000,539589.23000
130,0,717935.65000,544366.48000
131,0,719505.93000,542734.73000
132,0,708798.97200,538338.01660
133,0,709537.42020,537493.47010
134,0,709574.06000,538301.23000
135,0,709621.48740,539111.93150
136,0,709666.15000,539922.79000
137,0,710374.52670,538270.83090
138,0,703916.84460,538570.69900
139,0,708194.87000,543207.85000
140,0,702278.14570,538651.15330
141,0,702610.75400,545064.51370
142,0,703066.67420,537804.90720
143,0,703101.08000,538607.87000
144,0,703135.83000,539414.85920
145,0,703170.58000,540221.85000
146,0,703259.56000,541823.03000
147,0,703457.50480,545837.75440
148,0,703989.17360,540187.96230
149,0,704074.30780,541789.93950
150,0,704688.53370,537729.78210
151,0,704732.61000,538533.52000
152,0,704770.18820,539343.80210
153,0,704848.41440,540955.46220
154,0,704889.06000,541756.84000
155,0,705038.54000,544970.76000
156,0,705533.57400,538494.99270
157,0,705613.21810,540111.28190
158,0,705697.45470,541712.83560
159,0,705779.49230,543318.56540
160,0,705853.91690,544931.89190
161,0,706284.58490,537646.23980
162,0,706334.54000,538456.46000
163,0,706376.60400,539262.47250
164,0,706505.85000,541668.83000
165,0,706633.01400,544085.54080
166,0,707152.61040,538415.99310
167,0,707477.49350,544856.59120
168,0,708037.62000,539999.33000
169,0,708240.28250,544014.00330
170,0,708285.69000,544820.16000
171,0,708851.88530,539961.06160
172,0,708922.80500,541558.09100
173,0,709100.43830,544785.60960
174,0,709793.85230,542324.10340
175,0,709881.74670,543938.66070
176,0,709915.19000,544751.06000
177,0,710635.75560,543084.16110
178,0,710708.94430,544712.16420
179,0,711462.95330,543857.66460
180,0,722109.28330,547387.87450
181,0,722377.04970,553818.26020
182,0,723144.02000,553785.57000
183,0,729552.36910,552755.27060
184,0,729576.25000,553563.34000
185,0,720039.17150,554694.46890
186,0,719872.63790,551485.61990
187,0,720725.74550,552254.35800
188,0,721534.38000,552221.14000
189,0,714049.05120,547737.05790
190,0,714120.56340,549346.67370
191,0,714815.12950,546894.94110
192,0,716401.25000,546012.12000
193,0,718188.01760,549951.01500
194,0,718808.84510,545910.02250
195,0,718951.43470,549130.39410
196,0,719112.32300,552322.46090
197,0,719830.42000,550683.49000
198,0,720006.93000,553894.22000
199,0,712426.64520,547818.73440
200,0,712461.29170,549426.07300
201,0,713284.16450,548581.47120
202,0,713354.76750,550194.86740
203,0,713389.98000,551004.72000
204,0,713976.19960,546140.88460
205,0,714780.93000,546093.70000
206,0,715491.78120,546057.68670
207,0,719671.58000,547492.56000
208,0,720567.90100,549066.40660
209,0,720808.50550,553872.58660
210,0,721610.08000,553850.95000
211,0,708401.65300,550425.63440
212,0,709178.60390,547974.84710
213,0,709190.58970,549577.07070
214,0,709981.92000,546337.16000
215,0,710036.50080,553566.76310
216,0,710791.82230,547897.67160
217,0,707643.45990,554481.79800
218,0,710046.60000,554364.68000
219,0,711598.24580,547059.31140
220,0,711604.51000,547859.54000
221,0,711603.77230,548663.33620
222,0,709948.55230,545544.10790
223,0,730882.73970,521241.31960
224,0,731842.28020,520413.12210
225,0,721030.22090,521687.16520
226,0,721878.53900,522444.42160
227,0,725105.21650,522300.15810
228,0,725882.33070,521463.63030
229,0,726020.39570,524682.22690
230,0,728287.09000,521345.05000
231,0,728480.61800,525387.03570
232,0,740780.02500,520940.30930
233,0,744116.93700,524073.10430
234,0,711242.96870,520498.72600
235,0,712019.07670,519657.50700
236,0,713774.68580,522768.33920
237,0,713807.57000,523559.47000
238,0,716029.19130,518691.99080
239,0,717077.57540,524252.60020
240,0,717706.39760,520224.03410
241,0,717865.82890,523445.73700
242,0,718514.29000,520179.38000
243,0,718798.35740,525830.00680
244,0,701509.82920,520909.51130
245,0,702182.56000,517616.67000
246,0,702221.51560,518441.17740
247,0,703843.68370,518371.65830
248,0,704101.89600,524755.61890
249,0,704747.69420,520756.46700
