FID,Join_Count,TARGET_FID,entryid,POINT_X,POINT_Y,TRP,Join,UniqueID,Surveyor,SurveyYear,State,County,cornerid,TreeNo,Group_,L2_tree,L1_tree,L3_tree,TDiameter,TDistance,TDegree,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,feature,featurenot,timbernote,understory,landnotes,landnotesv,waterwet_1,generalnot,Line,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,temp,precip,DEM,muname,om_r,sandtotal_,silttotal_,claytotal_,kwfact,kffact,awc_r,ksat_r,RASTERVALU,CLASS
306,1,4120, ,773441.5587,519998.7859, ,232153340400tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Other,White Elm,w elm,Elm,18,11.667744,216, , , , , , , , , , , , , , ,East,IN085,5,Re,160908,9.979999542,990.1199951,246.708725,Rensselaer loam,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.25,0.19,9.1700001,21,"Developed, Open Space"
307,1,4121, ,767796.0356,526511.8443, ,233143600200tree2,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Other,Elm,elm,Elm,18,11.667744,78.25, , , , , , , , , , , , , , ,East,IN085,5,Go,160866,9.909999847,995.9099731,239.6522369,"Gravelton loamy sand, occasionally flooded",2.1199999,84.8499985,7.71,7.4400001,0.11,0.13,0.09,56.1699982,41,Deciduous Forest
308,1,4122, ,772708.284,529652.9758, ,233153300400tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Other,Elm,Elm,Elm,18,7.744968,236, , , , , , , , , , , , , , ,East,IN085,5,Re,160908,9.960000038,991.1900024,251.0003204,Rensselaer loam,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.25,0.19,9.1700001,21,"Developed, Open Space"
309,1,4124, ,775886.9979,523172.7206, ,232153500600tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Other,Elm,elm,Elm,18,7.04088,114, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.93999958,989.0499878,244.2458801,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,95,Emergent Herbaceous Wetlands
310,1,4127, ,757823.2055,521128.5132, ,232133600440tree1,2.32E+11,David Hillis,1834,IN,Marshall, ,tree1,Other,Elm,elm,Elm,18,2.615184,303, , , , , , , , , , , , , , ,East,IN099,4,BshA,1702515,9.899999619,1009.280029,237.8247986,"Brady sandy loam, 0 to 1 percent slopes",0.46,66.5899963,20.2700005,13.1400003,0.17,0.17,0.15,28.2299995,21,"Developed, Open Space"
311,1,4131, ,759328.733,516255.8662, ,232133700140tree1,2.32E+11,Sylvester Sibley,1833,IN,Marshall, ,tree1,Other,Elm,elm,Elm,18,3.419856,227, , , , , , , , , , , , , , ,East,IN099,4,BufA,2481933,9.890000343,1010.450012,237.7097626,"Bronson sandy loam, 0 to 1 percent slopes",0.6,68.0599976,20.6900005,11.25,0.2,0.2,0.14,28.0499992,21,"Developed, Open Space"
312,1,4132, ,772729.8655,531262.5135, ,233153300500tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Other,White Elm,W. Elm,Elm,18,1.307592,299.5, , , , , , , , , , , , , , ,East,IN085,5,AtA,160849,9.949999809,991.1199951,256.6943359,"Aubbeenaubbee fine sandy loam, moderately permeable substratum, 0 to 2 percent slopes",0.95,54.1599998,25.8799992,19.9599991,0.23,0.23,0.15,19.8400002,82,Cultivated Crops
313,1,4133, ,764457.4333,520175.8259, ,232143400400tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Other,Elm,elm,Elm,18,3.01752,128, , , , , , , , , , , , , , ,East,IN099,4,BshA,1702515,9.890000343,1000.97998,239.9793091,"Brady sandy loam, 0 to 1 percent slopes",0.46,66.5899963,20.2700005,13.1400003,0.17,0.17,0.15,28.2299995,82,Cultivated Crops
314,1,4136, ,772658.0838,521628.0239, ,232153300500tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Other,White Elm,w elm,Elm,18,1.207008,121.5, , , , , , , , , , , , , , ,East,IN085,5,Go,160866,9.920000076,991.1900024,243.4356689,"Gravelton loamy sand, occasionally flooded",2.1199999,84.8499985,7.71,7.4400001,0.11,0.13,0.09,56.1699982,21,"Developed, Open Space"
315,1,4140, ,777493.344,519960.6353, ,232153600400tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Other,Poplar,poplar,Poplar/tulip poplar,18,17.702784,49.5, , , , , , , , , , , , , , ,East,IN085,5,Bc,160850,10.02000046,988.4400024,260.8197021,Barry loam,2.49,51,30.0400009,18.9599991,0.21,0.21,0.19,9.1700001,81,Hay/Pasture
316,1,4141, ,776722.5458,528000.5773, ,233153540300tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Other,Hackberry,Hackberry,Hackberry,18,6.03504,202, , , , , , , , , , , , , , ,East,IN085,5,MbA,160882,9.890000343,988.7700195,262.5685425,"Metea loamy sand, 0 to 2 percent slopes",0.53,76.25,17.0900002,6.6599998,0.18,0.18,0.11,79.6699982,21,"Developed, Open Space"
317,1,4145, ,763698.5893,521791.3955, ,232143340500tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Other,Hickory,hickory,Hickory,18,3.118104,125, , , , , , , , , , , , , , ,East,IN099,4,PnyA,2481952,9.899999619,1001.880005,240.4790192,"Pinhook sandy loam, 0 to 2 percent slopes",1.89,69.4100037,22.0799999,8.5100002,0.17,0.17,0.14,35.2200012,21,"Developed, Open Space"
318,1,4146, ,763694.098,521794.2222, ,232143340500tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Other,Hickory,hickory,Hickory,18,2.212848,293.5, , , , , , , , , , , , , , ,East,IN099,4,PnyA,2481952,9.899999619,1001.880005,240.3638763,"Pinhook sandy loam, 0 to 2 percent slopes",1.89,69.4100037,22.0799999,8.5100002,0.17,0.17,0.14,35.2200012,21,"Developed, Open Space"
319,1,4148, ,760350.8219,520266.9384, ,232143140400tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Other,Hickory,hickory,Hickory,18,4.626864,197.5, , , , , , , , , , , , , , ,East,IN099,4,BshA,1702515,9.899999619,1007.5,238.78862,"Brady sandy loam, 0 to 1 percent slopes",0.46,66.5899963,20.2700005,13.1400003,0.17,0.17,0.15,28.2299995,21,"Developed, Open Space"
320,1,4152, ,766288.2618,532976.1393, ,233143500600tree2,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Other,Beech,beech,Beech,18,13.679424,106, , , , , , , , , , , , , , ,East,IN085,5,RlB,160910,9.949999809,998.4199829,253.4624634,"Riddles fine sandy loam, 2 to 6 percent slopes",0.9,46,33,21,0.28,0.28,0.16,12.9799995,21,"Developed, Open Space"
321,1,4159, ,772683.1243,527233.8354, ,233153300240tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Other,Black Ash,B. Ash,Ash,18,4.123944,113.75, , , , , , , , , , , , , , ,East,IN085,5,RlA,160909,9.909999847,991.2700195,244.9103088,"Riddles fine sandy loam, 0 to 2 percent slopes",0.9,46,33,21,0.28,0.28,0.16,12.9799995,21,"Developed, Open Space"
322,1,4171, ,767697.1533,520108.3806, ,232143600400tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Other,Beech,Beech,Beech,18,6.03504,242.5, , , , , , , , , , , , , , ,East,IN085,5,Bc,160850,9.920000076,997.3800049,246.2672424,Barry loam,2.49,51,30.0400009,18.9599991,0.21,0.21,0.19,9.1700001,82,Cultivated Crops
323,1,4188, ,769306.3646,520097.6679, ,232143700400tree1,2.32E+11,Sylvester Sibley,1833,IN,Marshall, ,tree1,Other,Sugar Maple,Sugar,Maple,18,12.673584,315, , , , , , , , , , , , , , ,East,IN085,5,BoB,160853,9.930000305,995.539978,247.8629913,"Boyer loamy sand, 1 to 6 percent slopes",0.96,79.3000031,11.4899998,9.21,0.08,0.08,0.09,76.4000015,82,Cultivated Crops
324,1,4193, ,773483.9136,526408.2914, ,233153340200tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Other,Black Ash,B. Ash,Ash,18,16.696944,142.5, , , , , , , , , , , , , , ,East,IN085,5,MaB,160880,9.930000305,990.3499756,246.3295746,"Martinsville sandy loam, 2 to 6 percent slopes",1.04,55.6800003,26.1399994,18.1800003,0.26,0.26,0.17,17.9400005,41,Deciduous Forest
325,1,4194, ,761312.436,522663.9844, ,232143200540tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Other,Basswood,Lynn,Basswood,18,6.437376,63, , , , , , , , , , , , , , ,East,IN099,4,ReyA,1702564,9.909999847,1005.169983,237.1837006,"Rensselaer loam, 0 to 1 percent slopes",3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.25,0.19,9.1700001,41,Deciduous Forest
326,1,4195, ,774323.2461,529643.0153, ,233153400400tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Other,Basswood,Lynn,Basswood,18,9.656064,109, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.920000076,990.6699829,260.0012207,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
327,1,4197, ,757827.9442,521920.5638, ,232133600500tree2,2.32E+11,David Hillis,1834,IN,Marshall, ,tree2,Other,Black Gum,b gum,Black gum,18,34.600896,246, , , , , , , , , , , , , , ,East,IN099,4,GdnA,2451235,9.909999847,1008.590027,238.4957886,"Gilford mucky sandy loam, 0 to 1 percent slopes, gravelly subsoil",3.53,77.1800003,13.3500004,9.4700003,0.14,0.14,0.11,16.25,21,"Developed, Open Space"
328,1,4199, ,767770.6243,525695.5045, ,233143600140tree2,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Other,Hickory,Hickory,Hickory,18,4.828032,165, , , , , , , , , , , , , , ,East,IN085,5,Wt,160932,9.920000076,996.0300293,242.4540558,Whitaker loam,1.29,40.6300011,37.5699997,21.7999992,0.32,0.32,0.19,9.3100004,82,Cultivated Crops
329,1,4200, ,775906.2783,527200.9847, ,233153500240tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Other,Sugar Maple,Sugar,Maple,18,1.609344,344, , , , , , , , , , , , , , ,East,IN085,5,Wt,160932,9.920000076,989.5599976,254.5804291,Whitaker loam,1.29,40.6300011,37.5699997,21.7999992,0.32,0.32,0.19,9.3100004,21,"Developed, Open Space"
330,1,4214, ,767798.3138,527319.616, ,233143600240tree1,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Other,Sycamore,Sycamore,Sycamore,18,3.118104,336, , , , , , , , , , , , , , ,East,IN085,5,Gf,160864,9.899999619,995.8499756,241.757019,"Gilford sandy loam, gravelly substratum",2.1700001,70.1500015,17.7199993,12.1300001,0.14,0.14,0.15,35.2200012,82,Cultivated Crops
331,1,4220, ,771983.3955,534399.0519, ,234153240100tree2,2.34E+11,Robert Clark,1833,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,17,8.650224,9.67, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.960000038,991.9699707,257.7958679,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,82,Cultivated Crops
332,1,4223, ,770368.9524,534442.4553, ,234153140100tree1,2.34E+11,Robert Clark,1833,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,17,14.282928,32, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.960000038,994.3200073,258.4376526,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,82,Cultivated Crops
333,1,4226, ,770171.4097,520068.9914, ,232153140400tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,17,2.916936,141.5, , , , , , , , , , , , , , ,East,IN085,5,BoB,160853,9.930000305,994.6099854,244.7415771,"Boyer loamy sand, 1 to 6 percent slopes",0.96,79.3000031,11.4899998,9.21,0.08,0.08,0.09,76.4000015,21,"Developed, Open Space"
334,1,4227, ,769543.4625,534439.5258, ,234153100100tree2,2.34E+11,Robert Clark,1833,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,17,11.466576,228.75, , , , , , , , , , , , , , ,East,IN085,5,Bp,160855,9.960000038,994.3200073,257.435791,Brady sandy loam,0.46,66.5899963,20.2700005,13.1400003,0.17,0.17,0.15,28.2299995,21,"Developed, Open Space"
335,1,4228, ,769339.2848,526465.8717, ,233143700200tree2,2.33E+11,Robert Clark,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,17,65.983104,250, , , , , , , , , , , , , , ,East,IN085,5,Gf,160864,9.909999847,995.1599731,242.2412109,"Gilford sandy loam, gravelly substratum",2.1700001,70.1500015,17.7199993,12.1300001,0.14,0.14,0.15,35.2200012,82,Cultivated Crops
336,1,4229, ,769418.724,524863.4703, ,233153100100tree2,2.33E+11,Robert Clark Jr,1833,IN,Kosciusko, ,tree2,Oak,White Oak,W. Oak,Oak,17,32.589216,103, , , , , , , , , , , , , , ,East,IN085,5,To,160921,9.930000305,993.8400269,242.342804,Toledo silty clay,2.03,4.0100002,51.4399986,44.5499992,0.3,0.3,0.15,1.36,82,Cultivated Crops
337,1,4244, ,761154.6678,516218.8277, ,232143200140tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Other,Beech,Beech,Beech,17,1.810512,75.5, , , , , , , , , , , , , , ,East,IN099,4,SdzA,2453035,9.909999847,1008.929993,245.4049225,"Selfridge-Crosier complex, 0 to 1 percent slopes",0.81,57.4000015,28.6499996,13.9499998,0.29,0.29,0.13,37.0499992,82,Cultivated Crops
338,1,4261, ,765417.893,529782.6513, ,233143440400tree2,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,Red Oak,r oak,Oak,16,5.0292,46.5, , , , , , , , , , , , , , ,East,IN085,5,Wt,160932,9.920000076,998.1199951,247.9609985,Whitaker loam,1.29,40.6300011,37.5699997,21.7999992,0.32,0.32,0.19,9.3100004,21,"Developed, Open Space"
339,1,4269, ,777494.3468,522352.1279, ,232153600540tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,Red Oak,r oak,Oak,16,8.951976,240, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.93999958,988.5499878,250.389328,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,82,Cultivated Crops
340,1,4270, ,774323.7111,532811.5937, ,233153400600tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,16,79.662528,210.5, , , , , , , , , , , , , , ,East,IN085,5,ShB,160919,9.93999958,990.3099976,254.9785767,"Shipshe sandy loam, 2 to 6 percent slopes",1.9400001,58.1100006,23.3799992,18.5100002,0.08,0.16,0.15,29.3600006,82,Cultivated Crops
341,1,4271, ,771834.7303,520041.6956, ,232153240400tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,16,3.218688,351.5, , , , , , , , , , , , , , ,East,IN085,5,He,160869,9.949999809,992.039978,248.7434998,Histosols and Aquolls,0,0,0,0,0,0,0,0,21,"Developed, Open Space"
342,1,4272, ,769527.6565,532936.0909, ,233143700600tree1,2.33E+11,Robert Clark,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,16,4.02336,190, , , , , , , , , , , , , , ,East,IN085,5,BoB,160853,9.970000267,993.4500122,259.437439,"Boyer loamy sand, 1 to 6 percent slopes",0.96,79.3000031,11.4899998,9.21,0.08,0.08,0.09,76.4000015,82,Cultivated Crops
343,1,4274, ,770965.1427,515223.2699, ,232153200100tree1,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree1,Oak,White Oak,w oak,Oak,16,4.626864,64, , , , , , , , , , , , , , ,East,IN085,5,Gf,160864,10.06000042,995.25,260.8660889,"Gilford sandy loam, gravelly substratum",2.1700001,70.1500015,17.7199993,12.1300001,0.14,0.14,0.15,35.2200012,21,"Developed, Open Space"
344,1,4277, ,769369.1957,523312.7757, ,232143700600tree1,2.32E+11,Sylvester Sibley,1833,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,16,6.638544,286, , , , , , , , , , , , , , ,East,IN085,5,OrC,160900,9.920000076,994.710022,241.7491455,"Ormas loamy sand, 6 to 12 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
345,1,4278, ,769368.9457,523316.9488, ,232143700600tree2,2.32E+11,Sylvester Sibley,1833,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,16,9.05256,311.5, , , , , , , , , , , , , , ,East,IN085,5,OrC,160900,9.920000076,994.710022,241.7491455,"Ormas loamy sand, 6 to 12 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
346,1,4279, ,771861.9527,524844.0373, ,233153240100tree1,2.33E+11,Robert Clark Jr,1833,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,16,11.466576,41, , , , , , , , , , , , , , ,East,IN085,5,Pb,160905,9.930000305,991.7800293,243.7266846,"Palms muck, gravelly substratum, drained",2,60,17,23,0.2,0.2,0.18,9.1700001,21,"Developed, Open Space"
347,1,4286, ,779110.7493,522356.1115, ,232153700540tree2,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree2,Oak,Yellow Oak,y oak,Oak,16,12.874752,185.5, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.930000305,988.1199951,249.2812805,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,23,"Developed, Medium Intensity"
348,1,4287, ,770313.4922,531287.0638, ,233153140500tree2,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,W Oak,Oak,16,8.247888,159, , , , , , , , , , , , , , ,East,IN085,5,OrB,160899,9.979999542,993.460022,254.9115143,"Ormas loamy sand, 2 to 6 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
349,1,4289, ,766142.3587,522559.6762, ,232143500540tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,16,12.07008,73, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.909999847,999,242.4922485,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,82,Cultivated Crops
350,1,4290, ,779105.7512,523163.8073, ,232153700600tree2,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,16,15.489936,219, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.930000305,988.1199951,251.2316284,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,22,"Developed, Low Intensity"
351,1,4291, ,760382.1746,521884.6448, ,232143140500tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Oak,White Oak,w oak,Oak,16,6.236208,126.5, , , , , , , , , , , , , , ,East,IN099,4,TxuA,2451239,9.909999847,1006.320007,238.7054138,"Tyner loamy sand, 0 to 1 percent slopes",0.48,88.9300003,6.6500001,4.4200001,0.08,0.08,0.09,91.7399979,90,Woody Wetlands
352,1,4293, ,771187.0498,532105.0038, ,233153200540tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,W oak,Oak,16,45.665136,80, , , , , , , , , , , , , , ,East,IN085,5,RxB,160913,9.970000267,992.8599854,258.382019,"Riddles-Ormas-Kosciusko complex, 2 to 6 percent slopes",0.81,66.1800003,20.8799992,12.9399996,0.19,0.2,0.13,38.7599983,82,Cultivated Crops
353,1,4294, ,773536.4391,529680.3421, ,233153340400tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,Red Oak,R. Oak,Oak,16,36.009072,35.5, , , , , , , , , , , , , , ,East,IN085,5,WlC2,160930,9.920000076,990.6699829,250.8210297,"Wawasee fine sandy loam, 6 to 12 percent slopes, eroded",1,49.4900017,31.0100002,19.5,0.29,0.29,0.18,8.9799995,82,Cultivated Crops
354,1,4295, ,769538.3619,533700.5386, ,233143700640tree1,2.33E+11,Robert Clark,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,16,7.443216,342, , , , , , , , , , , , , , ,East,IN085,5,KoB,160874,9.960000038,994.2600098,258.6264954,"Kosciusko sandy loam, 2 to 6 percent slopes",1,64.8099976,17.1299992,18.0599995,0.13,0.18,0.14,12.9700003,82,Cultivated Crops
355,1,4341, ,761337.5854,524252.1727, ,232143200640tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Other,Beech,Beech,Beech,16,2.715768,31.5, , , , , , , , , , , , , , ,East,IN099,4,CvdA,1702545,9.920000076,1004.960022,251.7851105,"Crosier loam, 0 to 1 percent slopes",0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,82,Cultivated Crops
356,1,4346, ,777434.6838,515127.8717, ,232153600100tree1,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree1,Other,Beech,beech,Beech,16,3.621024,59, , , , , , , , , , , , , , ,East,IN085,5,CrA,160860,10.11999989,989.4799805,266.2390747,"Crosier loam, 0 to 1 percent slopes",0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,82,Cultivated Crops
357,1,4372, ,766963.7482,524922.2043, ,233143540100tree1,2.33E+11,Robert Clark,1834,IN,Marshall, ,tree1,Other,Elm,elm,Elm,16,18.306288,41.5, , , , , , , , , , , , , , ,East,IN085,5,Gr,160867,9.899999619,996.9199829,239.0670471,"Gravelton-Palms, gravelly substratum complex, frequently flooded",2.0699999,74.9100037,11.4300003,13.6599998,0.15,0.16,0.12,37.3699989,90,Woody Wetlands
358,1,4376, ,769377.8766,528092.4243, ,233143700300tree1,2.33E+11,Robert Clark,1834,IN,Marshall, ,tree1,Other,Hickory,Hickory,Hickory,16,39.026592,274.25, , , , , , , , , , , , , , ,East,IN085,5,Se,160916,9.909999847,995.0800171,243.436615,"Sebewa loam, drained, 0 to 1 percent slopes",1.51,50.9300003,25.2099991,23.8600006,0.22,0.22,0.16,10.4099998,82,Cultivated Crops
359,1,4389, ,769292.0649,520079.145, ,232143700400tree2,2.32E+11,Sylvester Sibley,1833,IN,Marshall, ,tree2,Other,Sugar Maple,Sugar,Maple,16,24.743664,246, , , , , , , , , , , , , , ,East,IN085,5,BoB,160853,9.930000305,995.539978,247.6460419,"Boyer loamy sand, 1 to 6 percent slopes",0.96,79.3000031,11.4899998,9.21,0.08,0.08,0.09,76.4000015,82,Cultivated Crops
360,1,4399, ,762845.8398,520216.1373, ,232143300400tree2,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree2,Other,Aspen,aspen,Poplar,16,9.454896,292.5, , , , , , , , , , , , , , ,East,IN099,4,OlcA,1702559,9.890000343,1003.650024,239.5479279,"Oshtemo sandy loam, 0 to 1 percent slopes",0.92,71.5299988,16.0799999,12.3900003,0.15,0.15,0.14,35.2200012,82,Cultivated Crops
361,1,4409, ,774270.0629,525612.5361, ,233153400140tree1,2.33E+11,Robert Clark Jr,1835,IN,Kosciusko, ,tree1,Other,Sycamore,Sycamore,Sycamore,16,5.0292,303.5, , , , , , , , , , , , , , ,East,IN085,5,Wt,160932,9.960000038,990.3099976,257.0628357,Whitaker loam,1.29,40.6300011,37.5699997,21.7999992,0.32,0.32,0.19,9.3100004,23,"Developed, Medium Intensity"
362,1,4410, ,769565.3955,535258.2309, ,234143700140tree1,2.34E+11,Reuben J. Dawson,1835,IN,Marshall, ,tree1,Other,Sycamore,Sycamore,Sycamore,16,6.638544,302, , , , , , , , , , , , , , ,East,IN085,5,Se,160916,9.960000038,994.3200073,256.1271973,"Sebewa loam, drained, 0 to 1 percent slopes",1.51,50.9300003,25.2099991,23.8600006,0.22,0.22,0.16,10.4099998,21,"Developed, Open Space"
363,1,4411, ,754707.2541,523604.443, ,232133400600tree1,2.32E+11,David Hillis,1834,IN,Marshall, ,tree1,Other,Tamarack,tamk,Tamarack,16,4.425696,194, , , , , , , , , , , , , , ,East,IN099,4,HtbAN,1702550,9.949999809,1011.099976,240.1115723,"Houghton muck, drained, 0 to 1 percent slopes",0,0,0,0,0,0,0,0,82,Cultivated Crops
364,1,4423, ,775869.8542,520776.4721, ,232153500440tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,Yellow Oak,y oak,Oak,15,2.414016,329, , , , , , , , , , , , , , ,East,IN085,5,Uf,160923,10.02000046,989.0100098,260.312561,Udorthents-Urban land complex,0,0,0,0,0,0,0,0,21,"Developed, Open Space"
365,1,4425, ,757777.4063,519521.7196, ,232133600340tree1,2.32E+11,David Hillis,1834,IN,Marshall, ,tree1,Oak,Bur Oak,burr oak,Oak,15,4.626864,65, , , , , , , , , , , , , , ,East,IN099,4,WciAH,2495705,9.899999619,1009.700012,233.9184723,"Waterford-Cohoctah loams, 0 to 2 percent slopes, frequently flooded, brief duration",1.58,58.0699997,26.3899994,16.5400009,0.28,0.28,0.15,28.5100002,21,"Developed, Open Space"
366,1,4427, ,768561.5909,524889.5419, ,233143640100tree1,2.33E+11,Robert Clark,1834,IN,Marshall, ,tree1,Oak,White Oak,W oak,Oak,15,12.472416,310, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.909999847,995.3499756,242.2649078,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
367,1,4429, ,776672.474,518374.9832, ,232153540300tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,15,28.968192,35, , , , , , , , , , , , , , ,East,IN085,5,ClB,160858,10.03999996,988.9500122,267.01828,"Coloma loamy sand, 0 to 6 percent slopes, fine-loamy minor components",0.42,89.9100037,7.0100002,3.0799999,0.03,0.03,0.08,55,82,Cultivated Crops
368,1,4430, ,772619.8835,523219.7945, ,232153300600tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,White Oak,w oak,Oak,15,23.737824,309.5, , , , , , , , , , , , , , ,East,IN085,5,Hx,160872,9.909999847,991.1699829,242.6318359,"Houghton muck, drained",0,0,0,0,0,0,0,0,21,"Developed, Open Space"
369,1,4432, ,758569.2312,518698.6211, ,232133640300tree1,2.32E+11,David Hillis,1834,IN,Marshall, ,tree1,Oak,Bur Oak,Burr Oak,Oak,15,6.03504,220, , , , , , , , , , , , , , ,East,IN099,4,WciAH,2495705,9.890000343,1009.460022,233.7921448,"Waterford-Cohoctah loams, 0 to 2 percent slopes, frequently flooded, brief duration",1.58,58.0699997,26.3899994,16.5400009,0.28,0.28,0.15,28.5100002,41,Deciduous Forest
