FID,Join_Count,TARGET_FID,entryid,POINT_X,POINT_Y,TRP,Join,UniqueID,Surveyor,SurveyYear,State,County,cornerid,TreeNo,Group_,L2_tree,L1_tree,L3_tree,TDiameter,TDistance,TDegree,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,feature,featurenot,timbernote,understory,landnotes,landnotesv,waterwet_1,generalnot,Line,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,temp,precip,DEM,muname,om_r,sandtotal_,silttotal_,claytotal_,kwfact,kffact,awc_r,ksat_r,RASTERVALU,CLASS
34,1,3133, ,777635.3947,535072.4102, ,234153600140tree1,2.34E+11,Reuben J. Dawson,1835,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,30,5.632704,21, , , , , , , , , , , , , , ,East,IN085,5,CrA,160860,9.880000114,986.3900146,257.8738098,"Crosier loam, 0 to 1 percent slopes",0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,21,"Developed, Open Space"
35,1,3136, ,770999.6085,517634.2096, ,232153200240tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,w oak,Oak,30,4.626864,134, , , , , , , , , , , , , , ,East,IN085,5,Uf,160923,9.930000305,993.4099731,251.6560364,Udorthents-Urban land complex,0,0,0,0,0,0,0,0,82,Cultivated Crops
36,1,3137, ,778430.9553,534256.4174, ,234153640100tree1,2.34E+11,Robert Clark,1833,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,30,2.615184,5, , , , , , , , , , , , , , ,East,IN085,5,Se,160916,9.880000114,986.2800293,256.2138062,"Sebewa loam, drained, 0 to 1 percent slopes",1.51,50.9300003,25.2099991,23.8600006,0.22,0.22,0.16,10.4099998,82,Cultivated Crops
37,1,3138, ,775826.6001,516769.3356, ,232153500200tree1,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,Bur Oak,burr oak,Oak,30,13.880592,351.5, , , , , , , , , , , , , , ,East,IN085,5,CrB,160861,10.06000042,989.539978,267.1430969,"Crosier loam, 1 to 4 percent slopes",0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,82,Cultivated Crops
38,1,3139, ,767764.4899,525702.4982, ,233143600140tree1,2.33E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,30,5.53212,292.5, , , , , , , , , , , , , , ,East,IN085,5,Re,160908,9.920000076,996.0300293,242.4542542,Rensselaer loam,3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.25,0.19,9.1700001,82,Cultivated Crops
39,1,3146, ,761174.2245,517022.2451, ,232143200200tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,Bur Oak,burr oak,Oak,30,6.437376,263.5, , , , , , , , , , , , , , ,East,IN099,4,ReyA,1702564,9.909999847,1008.340027,241.4643555,"Rensselaer loam, 0 to 1 percent slopes",3.0999999,34.1800003,41.2200012,24.6000004,0.25,0.25,0.19,9.1700001,82,Cultivated Crops
40,1,3148, ,766872.5199,523339.3068, ,232143540600tree1,2.32E+11,Reuben J. Dawson,1834,IN,Marshall, ,tree1,Oak,White Oak,w oak,Oak,30,72.219312,261, , , , , , , , , , , , , , ,East,IN085,5,BoB,160853,9.899999619,997.0700073,240.0799866,"Boyer loamy sand, 1 to 6 percent slopes",0.96,79.3000031,11.4899998,9.21,0.08,0.08,0.09,76.4000015,82,Cultivated Crops
41,1,3149, ,772574.5985,515200.3803, ,232153300100tree1,2.32E+11,S. Sibley,1833,IN,Kosciusko, ,tree1,Oak,White Oak,w oak,Oak,30,6.638544,341, , , , , , , , , , , , , , ,East,IN085,5,RxB,160913,9.979999542,992.0599976,258.338501,"Riddles-Ormas-Kosciusko complex, 2 to 6 percent slopes",0.81,66.1800003,20.8799992,12.9399996,0.19,0.2,0.13,38.7599983,82,Cultivated Crops
42,1,3150, ,758620.9028,520307.2695, ,232133640400tree2,2.32E+11,David Hillis,1834,IN,Marshall, ,tree2,Oak,Red Oak,R Oak,Oak,30,0.201168,26, , , , , , , , , , , , , , ,East,IN099,4,SdzA,2453035,9.899999619,1008.530029,238.6916962,"Selfridge-Crosier complex, 0 to 1 percent slopes",0.81,57.4000015,28.6499996,13.9499998,0.29,0.29,0.13,37.0499992,82,Cultivated Crops
43,1,3154, ,775917.8623,527999.1688, ,233153500300tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,White Oak,W. Oak,Oak,30,7.5438,148.5, , , , , , , , , , , , , , ,East,IN085,5,OrA,160898,9.909999847,989.4099731,257.1434631,"Ormas loamy sand, 0 to 2 percent slopes",0.57,83.2200012,11.2700005,5.5100002,0.11,0.12,0.1,82.8499985,21,"Developed, Open Space"
44,1,3156, ,774216.9916,517580.6796, ,232153400240tree2,2.32E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree2,Oak,Yellow Oak,y oak,Oak,30,5.53212,319.5, , , , , , , , , , , , , , ,East,IN085,5,CrA,160860,10.02000046,990.4400024,264.9389343,"Crosier loam, 0 to 1 percent slopes",0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,41,Deciduous Forest
45,1,3157, ,772722.1108,530467.0517, ,233153300440tree1,2.33E+11,Reuben J. Dawson,1834,IN,Kosciusko, ,tree1,Oak,Red Oak,R. Oak,Oak,30,7.644384,352, , , , , , , , , , , , , , ,East,IN085,5,Wt,160932,9.949999809,991.1199951,254.8621521,Whitaker loam,1.29,40.6300011,37.5699997,21.7999992,0.32,0.32,0.19,9.3100004,21,"Developed, Open Space"
