Id,ORIG_FID,Id_1,POINT_X,POINT_Y
0,0,0,737005.26762,554149.95732
0,0,0,737003.93387,554145.13849
0,0,0,737002.60012,554140.31966
0,0,0,737001.26638,554135.50083
0,0,0,736999.93263,554130.68200
0,0,0,736998.59888,554125.86317
0,0,0,736997.26514,554121.04434
0,0,0,736995.93139,554116.22551
0,0,0,736991.78949,554113.66104
0,0,0,736987.37297,554111.31705
0,0,0,736982.95645,554108.97305
0,0,0,736978.53993,554106.62905
0,0,0,736974.12340,554104.28505
0,0,0,736969.70688,554101.94105
0,0,0,736965.29036,554099.59705
0,0,0,736960.87384,554097.25305
0,0,0,736956.45731,554094.90906
0,0,0,736952.04079,554092.56506
0,0,0,736947.62427,554090.22106
0,0,0,736943.20775,554087.87706
0,0,0,736938.79122,554085.53306
0,0,0,736934.37470,554083.18906
0,0,0,736929.95818,554080.84507
0,0,0,736925.54166,554078.50107
0,0,0,736921.12513,554076.15707
0,0,0,736916.70861,554073.81307
0,0,0,736912.29209,554071.46907
0,0,0,736907.87557,554069.12507
0,0,0,736903.45904,554066.78107
0,0,0,736899.04252,554064.43708
0,0,0,736894.62600,554062.09308
0,0,0,736890.20948,554059.74908
0,0,0,736885.79295,554057.40508
0,0,0,736881.37643,554055.06108
0,0,0,736876.95991,554052.71708
0,0,0,736872.54339,554050.37309
0,0,0,736868.12686,554048.02909
0,0,0,736863.71034,554045.68509
0,0,0,736859.29382,554043.34109
0,0,0,736854.87729,554040.99710
0,0,0,736850.46076,554038.65311
0,0,0,736846.04423,554036.30913
0,0,0,736841.62771,554033.96514
0,0,0,736837.21118,554031.62115
0,0,0,736832.79465,554029.27716
0,0,0,736828.37812,554026.93318
0,0,0,736823.96159,554024.58919
0,0,0,736819.54506,554022.24520
0,0,0,736815.12853,554019.90122
0,0,0,736810.71201,554017.55723
0,0,0,736806.29548,554015.21324
0,0,0,736801.87895,554012.86925
0,0,0,736797.46242,554010.52527
0,0,0,736793.04589,554008.18128
0,0,0,736788.62936,554005.83729
0,0,0,736784.21284,554003.49330
0,0,0,736779.79631,554001.14932
0,0,0,736775.37978,553998.80533
0,0,0,736770.96325,553996.46134
0,0,0,736766.54672,553994.11735
0,0,0,736762.13019,553991.77337
0,0,0,736757.71366,553989.42938
0,0,0,736753.29714,553987.08539
0,0,0,736748.88061,553984.74141
0,0,0,736744.46408,553982.39742
0,0,0,736740.04755,553980.05343
0,0,0,736735.63102,553977.70944
0,0,0,736731.21449,553975.36546
0,0,0,736726.79797,553973.02147
0,0,0,736722.38144,553970.67748
0,0,0,736717.96491,553968.33349
0,0,0,736713.54838,553965.98951
0,0,0,736709.13185,553963.64552
0,0,0,736704.71532,553961.30153
0,0,0,736700.29879,553958.95755
0,0,0,736695.88227,553956.61356
0,0,0,736691.46574,553954.26957
0,0,0,736687.04921,553951.92558
