spcd,FIAspecies,PalEON_L3,plt_cn,ID,Buffer,dbh,basal_area,n,density,STATECD
972,Ulmus americana,Elm,1.45112E+13,28,Other,22.86,1.222058323,2,29.74180476,18
318,Acer saccharum,Maple,1.45112E+13,28,Other,42.418,6.326175024,3,44.61270714,18
316,Acer rubrum,Maple,1.45112E+13,28,Other,27.5844,9.242823904,10,148.7090238,18
972,Ulmus americana,Elm,2.20852E+14,30,Other,31.75,1.177374603,1,14.87090238,18
682,Morus rubra,Other hardwood,2.20852E+14,30,Other,26.797,1.71840178,2,29.74180476,18
742,Populus deltoides,Poplar,2.20852E+14,30,Other,51.65436364,36.03173184,11,163.5799262,18
804,Quercus bicolor,Oak,2.42374E+14,31,Other,23.622,0.651719228,1,14.87090238,18
317,Acer saccharinum,Maple,2.42374E+14,31,Other,36.49133333,4.873991771,3,44.61270714,18
544,Fraxinus pennsylvanica,Ash,2.42374E+14,31,Other,32.512,7.67083101,6,89.22541427,18
602,Juglans nigra,Walnut,1.69099E+14,33,Other,22.352,0.583525691,1,14.87090238,18
823,Quercus macrocarpa,Oak,1.69099E+14,33,Other,46.228,2.495958805,1,14.87090238,18
975,Ulmus rubra,Elm,1.69099E+14,33,Other,23.114,0.623989701,1,14.87090238,18
317,Acer saccharinum,Maple,1.69099E+14,33,Other,25.82333333,2.37516959,3,44.61270714,18
742,Populus deltoides,Poplar,1.69099E+14,33,Other,58.25066667,12.13121579,3,44.61270714,18
972,Ulmus americana,Elm,1.69099E+14,33,Other,32.5755,5.233571393,4,59.48360951,18
